 #The Line and  Sample are according to LEVEL1 and LEVEL2 image 

 L1Line L1Sample  L2Line   L2Sample  Lon       Lat      Zenith    Azimuth
      1       1  -80.22    1194.72  113.3549  23.0148   5.5767     102.2808
      1     123  -62.50    1318.24  113.3790  23.0112   5.3720     102.4125
      1     245  -44.81    1441.51  113.4030  23.0076   5.1676     102.5536
      1     367  -27.15    1564.55  113.4269  23.0041   4.9635     102.7053
      1     489  -9.53    1687.38  113.4508  23.0005   4.7597     102.8690
      1     611   8.07    1809.99  113.4746  22.9970   4.5561     103.0462
      1     733  25.63    1932.39  113.4984  22.9934   4.3529     103.2388
      1     855  43.17    2054.61  113.5222  22.9899   4.1500     103.4492
      1     977  60.69    2176.65  113.5459  22.9864   3.9473     103.6799
      1    1099  78.17    2298.51  113.5696  22.9828   3.7449     103.9343
      1    1221  95.64    2420.21  113.5933  22.9793   3.5427     104.2163
      1    1343  113.08    2541.77  113.6169  22.9757   3.3408     104.5311
      1    1465  130.50    2663.18  113.6405  22.9722   3.1393     104.8848
      1    1587  147.91    2784.46  113.6641  22.9687   2.9379     105.2854
      1    1709  165.29    2905.61  113.6877  22.9651   2.7369     105.7431
      1    1831  182.66    3026.66  113.7112  22.9616   2.5362     106.2715
      1    1953  200.02    3147.61  113.7347  22.9581   2.3359     106.8886
      1    2075  217.36    3268.46  113.7582  22.9545   2.1360     107.6192
      1    2197  234.69    3389.23  113.7817  22.9510   1.9366     108.4982
      1    2319  252.01    3509.93  113.8051  22.9474   1.7378     109.5759
      1    2441  269.33    3630.57  113.8286  22.9439   1.5399     110.9284
      1    2563  286.63    3751.16  113.8520  22.9404   1.3431     112.6753
      1    2685  303.93    3871.71  113.8754  22.9368   1.1480     115.0150
      1    2807  321.23    3992.22  113.8988  22.9333   0.9556     118.3000
      1    2929  338.52    4112.71  113.9222  22.9297   0.7679     123.2091
      1    3051  355.81    4233.19  113.9456  22.9262   0.5894     131.1779
      1    3173  373.10    4353.67  113.9690  22.9226   0.4316     145.4508
      1    3295  390.39    4474.16  113.9924  22.9190   0.3261     171.9088
