 #The Line and  Sample are according to LEVEL1 and LEVEL2 image 

 L1Line L1Sample  L2Line   L2Sample  Lon       Lat      Zenith    Azimuth
      1       1  -80.22    1187.20  113.4023  23.0141   5.5729     102.0739
      1     123  -62.68    1310.66  113.4263  23.0106   5.3681     102.2001
      1     245  -45.18    1433.88  113.4503  23.0070   5.1637     102.3354
      1     367  -27.71    1556.86  113.4742  23.0035   4.9596     102.4808
      1     489  -10.27    1679.63  113.4981  23.0000   4.7558     102.6376
      1     611   7.14    1802.18  113.5219  22.9965   4.5522     102.8074
      1     733  24.52    1924.54  113.5457  22.9929   4.3490     102.9919
      1     855  41.87    2046.70  113.5695  22.9894   4.1460     103.1934
      1     977  59.20    2168.68  113.5932  22.9859   3.9433     103.4144
      1    1099  76.50    2290.49  113.6169  22.9824   3.7408     103.6581
      1    1221  93.78    2412.13  113.6405  22.9789   3.5386     103.9282
      1    1343  111.04    2533.63  113.6642  22.9754   3.3367     104.2297
      1    1465  128.28    2654.99  113.6877  22.9719   3.1350     104.5684
      1    1587  145.50    2776.21  113.7113  22.9684   2.9336     104.9521
      1    1709  162.70    2897.31  113.7348  22.9648   2.7325     105.3906
      1    1831  179.89    3018.31  113.7584  22.9613   2.5317     105.8969
      1    1953  197.06    3139.20  113.7819  22.9578   2.3313     106.4884
      1    2075  214.22    3260.00  113.8053  22.9543   2.1312     107.1889
      1    2197  231.37    3380.71  113.8288  22.9508   1.9316     108.0319
      1    2319  248.51    3501.36  113.8522  22.9473   1.7326     109.0664
      1    2441  265.64    3621.95  113.8757  22.9438   1.5344     110.3658
      1    2563  282.76    3742.48  113.8991  22.9403   1.3372     112.0464
      1    2685  299.88    3862.97  113.9225  22.9367   1.1416     114.3016
      1    2807  316.99    3983.43  113.9459  22.9332   0.9485     117.4775
      1    2929  334.10    4103.87  113.9693  22.9297   0.7598     122.2472
      1    3051  351.21    4224.30  113.9927  22.9262   0.5797     130.0598
      1    3173  368.31    4344.72  114.0161  22.9226   0.4196     144.3024
      1    3295  385.42    4465.16  114.0394  22.9191   0.3117     171.5253
      1    3417  402.53    4585.61  114.0628  22.9156   0.3154     -150.9864
