 #The Line and  Sample are according to LEVEL1 and LEVEL2 image 

 L1Line L1Sample  L2Line   L2Sample  Lon       Lat      Zenith    Azimuth
      1       1  -80.25    1191.42  113.3957  23.0139   5.5754     102.2227
      1     123  -62.59    1314.98  113.4198  23.0103   5.3707     102.3527
      1     245  -44.96    1438.29  113.4438  23.0068   5.1662     102.4921
      1     367  -27.36    1561.36  113.4677  23.0032   4.9621     102.6419
      1     489  -9.80    1684.22  113.4916  22.9997   4.7583     102.8035
      1     611   7.73    1806.86  113.5155  22.9961   4.5548     102.9786
      1     733  25.23    1929.31  113.5393  22.9926   4.3515     103.1688
      1     855  42.71    2051.56  113.5630  22.9890   4.1486     103.3765
      1     977  60.16    2173.63  113.5868  22.9855   3.9459     103.6043
      1    1099  77.58    2295.53  113.6105  22.9820   3.7434     103.8555
      1    1221  94.99    2417.27  113.6341  22.9784   3.5412     104.1341
      1    1343  112.37    2538.85  113.6578  22.9749   3.3393     104.4449
      1    1465  129.73    2660.30  113.6814  22.9714   3.1377     104.7942
      1    1587  147.07    2781.61  113.7050  22.9678   2.9364     105.1898
      1    1709  164.39    2902.80  113.7285  22.9643   2.7353     105.6419
      1    1831  181.70    3023.88  113.7521  22.9608   2.5346     106.1638
      1    1953  199.00    3144.86  113.7756  22.9572   2.3342     106.7734
      1    2075  216.28    3265.75  113.7991  22.9537   2.1343     107.4952
      1    2197  233.55    3386.56  113.8225  22.9502   1.9348     108.3637
      1    2319  250.81    3507.29  113.8460  22.9466   1.7359     109.4289
      1    2441  268.06    3627.97  113.8695  22.9431   1.5379     110.7661
      1    2563  285.30    3748.59  113.8929  22.9396   1.3410     112.4940
      1    2685  302.54    3869.17  113.9163  22.9360   1.1457     114.8099
      1    2807  319.77    3989.72  113.9397  22.9325   0.9531     118.0647
      1    2929  337.00    4110.25  113.9631  22.9289   0.7651     122.9367
      1    3051  354.23    4230.76  113.9865  22.9254   0.5862     130.8682
      1    3173  371.46    4351.28  114.0099  22.9218   0.4277     145.1518
      1    3295  388.69    4471.80  114.0334  22.9183   0.3216     171.8650
      1    3417  405.92    4592.34  114.0568  22.9147   0.3243     -151.7727
      1    3539  423.16    4712.91  114.0802  22.9112   0.4337     -125.6815
      1    3661  440.40    4833.51  114.1036  22.9076   0.5936     -111.7709
      1    3783  457.65    4954.17  114.1270  22.9040   0.7733     -104.0149
      1    3905  474.91    5074.88  114.1504  22.9004   0.9618     -99.2318
      1    4027  492.17    5195.66  114.1739  22.8969   1.1549     -96.0266
      1    4149  509.45    5316.51  114.1974  22.8933   1.3507     -93.7409
      1    4271  526.74    5437.46  114.2208  22.8897   1.5481     -92.0326
      1    4393  544.05    5558.50  114.2443  22.8861   1.7468     -90.7088
      1    4515  561.37    5679.65  114.2678  22.8825   1.9463     -89.6531
      1    4637  578.70    5800.92  114.2914  22.8788   2.1465     -88.7917
      1    4759  596.06    5922.31  114.3149  22.8752   2.3472     -88.0752
      1    4881  613.43    6043.84  114.3385  22.8716   2.5484     -87.4697
      1    5003  630.83    6165.52  114.3621  22.8680   2.7500     -86.9510
      1    5125  648.25    6287.36  114.3857  22.8643   2.9521     -86.5016
      1    5247  665.69    6409.36  114.4094  22.8607   3.1544     -86.1081
      1    5369  683.16    6531.54  114.4331  22.8570   3.3572     -85.7606
      1    5491  700.65    6653.91  114.4568  22.8533   3.5602     -85.4513
      1    5613  718.18    6776.47  114.4806  22.8496   3.7637     -85.1740
      1    5735  735.73    6899.24  114.5044  22.8460   3.9674     -84.9239
      1    5857  753.31    7022.23  114.5283  22.8423   4.1715     -84.6970
      1    6000  773.97    7166.68  114.5563  22.8379   4.4111     -84.4563
    119       1  35.54    1167.78  113.3908  22.9930   5.5754     102.2204
    119     123  53.21    1291.33  113.4148  22.9895   5.3706     102.3504
    119     245  70.84    1414.64  113.4388  22.9859   5.1662     102.4897
    119     367  88.43    1537.71  113.4627  22.9824   4.9621     102.6394
    119     489  106.00    1660.57  113.4866  22.9788   4.7583     102.8010
    119     611  123.53    1783.21  113.5105  22.9753   4.5547     102.9760
    119     733  141.04    1905.65  113.5343  22.9717   4.3515     103.1661
    119     855  158.52    2027.90  113.5580  22.9682   4.1485     103.3738
    119     977  175.97    2149.97  113.5818  22.9647   3.9458     103.6015
    119    1099  193.40    2271.87  113.6055  22.9611   3.7434     103.8526
    119    1221  210.81    2393.61  113.6291  22.9576   3.5412     104.1311
