"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-𝘢 (mg/m³)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (mg/m³)","Salinity (psu)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)","𝐸. 𝑐𝑜𝑙𝑖  (counts/100mL)"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2016-01-25","1","2.7","79","0.13","<0.05","<1","<1","10","<1","72","<0.1","8","290","0.7","<1","475","5","<0.01","101","11.7","26000","null","0.5","<0.01","91","<1","12","<1","2","1","1.4","0.018","<0.5","0.06","7.5","<0.2","0.3","16","<1","<0.02","1.3","<1","1.2","4","0.11","750","120","2.1","<2","8.9","25","19000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2016-02-12","1","0.7","191","0.17","<0.05","<1","<1","12","<1","367","<0.1","12","1500","2.6","1","4812","4","<0.01","100","9.2","2800","null","0.5","<0.01","152","<1","61","<1","2","2","1","0.035","<0.5","0.048","7.6","1.8","3","14","<1","<0.02","12","<1","0.98","3","0.08","3300","700","2.6","<2","18.3","40","2800"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2016-03-10","1","3.3","73","0.32","0.06","<1","<1","14","<1","<50","<0.1","9","39","0.6","<1","233","6","<0.01","99","9.8","20000","null","0.5","<0.01","<50","2","11","<1","<2","3","2.5","0.28","<0.5","0.088","7.7","0.6","0.1","12","<1","<0.02","1.2","<1","1.4","5","0.11","190","74","3.1","<2","15.9","30","8500"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2016-04-15","1","0.9","92","0.05","<0.05","<1","<1","10","<1","<50","<0.1","5","10","0.7","<1","89","26","<0.01","99","8.7","6100","null","0.4","<0.01","182","3","14","<1","<2","1","1","0.017","<0.5","0.048","7.6","0.5","0","16","<1","<0.02","5.1","<1","0.52","2","0.07","90","1","7.5","<2","21.7","59","2300"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2016-05-18","1","0.6","100","0.14","<0.05","<1","<1","12","<1","<50","<0.1","6","24","4.2","<1","153","7","<0.01","101","8.4","44000","null","0.4","<0.01","138","<1","12","<1","<2","2","1.4","0.031","<0.5","0.006","7.6","1.7","0.1","13","<1","<0.02","1.9","<1","2.7","3","0.04","130","52","3.7","<2","24.6","28","41000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2016-06-13","1","0.9","90","0.033","<0.05","<1","<1","9","<1","<50","<0.1","5","<10","0.5","<1","85","4","<0.01","100","8.1","20000","null","0.3","<0.01","415","1","23","<1","<2","<1","0.64","0.01","<0.5","0.046","7.5","0.5","0","18","<1","<0.02","4","<1","0.31","2","0.06","120","85","7.2","<2","26.2","23","8000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2016-07-14","1","0.9","88","0.03","<0.05","<1","<1","9","<1","<50","<0.1","5","<10","0.5","<1","72","14","<0.01","99","8","86000","null","0.3","<0.01","389","2","13","<1","<2","<1","0.64","0.012","<0.5","0.043","7.7","0.2","0","17","<1","<0.02","5.6","<1","0.36","2","0.08","120","24","11.5","<2","26.4","27","8000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2016-08-10","1","0.8","154","0.064","<0.05","<1","<1","11","<1","<50","<0.1","10","<10","0.2","<1","70","8","<0.01","98","8","120000","null","0.2","<0.01","282","2","14","<1","<2","1","0.82","0.029","<0.5","0.054","7.7","<0.2","0","11","<1","<0.02","7.7","<1","0.44","3","0.09","110","58","22.3","<2","26.1","32","13000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2016-09-12","1","0.9","100","0.032","<0.05","<1","<1","9","<1","<50","<0.1","<2","31","1","<1","171","4","<0.01","101","8","25000","null","0.3","<0.01","171","2","20","<1","<2","<1","0.64","0.005","<0.5","0.039","7.6","0.9","0.1","17","<1","<0.02","5","<1","0.15","<1","0.05","150","54","6.4","<2","26.9","40","13000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2016-10-14","1","0.5","92","0.08","<0.05","<1","<1","8","<1","<50","<0.1","4","130","0.9","<1","544","2","<0.01","99","8.2","57000","null","0.4","<0.01","152","<1","<10","<1","<2","1","0.58","0.013","<0.5","0.05","7.5","0.3","0.3","19","<1","<0.02","3.4","<1","0.36","1","0.08","290","70","3.3","<2","24.6","17","43000"
