"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-𝘢 (mg/m³)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (mg/m³)","Salinity (psu)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)","𝐸. 𝑐𝑜𝑙𝑖  (counts/100mL)"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2016-11-14","1","0.5","92","0.025","0.05","<1","<1","6","<1","<50","<0.1","3","13","1","<1","128","8","<0.01","102","8.5","10000","null","0.3","<0.01","94","<1","<10","<1","<2","<1","0.61","0.014","<0.5","0.03","7.5","0.9","0.1","19","<1","<0.02","3","<1","0.19","1","0.07","90","45","3.4","<2","24.2","18","2500"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2016-12-08","1","0.4","83","0.053","<0.05","<1","<1","7","<1","<50","<0.1","4","12","0.7","<1","75","2","<0.01","100","9.4","22000","null","0.4","<0.01","104","<1","<10","<1","<2","<1","0.67","0.024","<0.5","0.067","7.8","1","0","17","<1","<0.02","1.8","<1","0.4","2","0.08","110","47","2.9","<2","18.5","16","2600"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2016-01-25","1","1","79","0.22","<0.05","<1","<1","8","<1","<50","<0.1","5","<10","0.6","<1","114","4","<0.01","100","11.6","22000","0.003","0.5","<0.01","112","<1","17","<1","3","<1","0.73","0.016","<0.5","0.041","8","0.2","0.1","17","<1","<0.02","1.2","<1","0.8","2","0.07","120","34","2","<2","9","27","9000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2016-02-12","1","<0.1","264","0.027","<0.05","<1","<1","8","<1","<50","<0.1","5","<10","0.8","<1","281","3","<0.01","100","9.4","2500","0.005","0.4","<0.01","133","1","10","<1","<2","<1","0.59","0.014","<0.5","0.042","8.4","0.5","0.2","16","<1","<0.02","6.4","<1","0.23","2","0.07","120","56","3.5","<2","18.7","18","600"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2016-03-10","1","1","196","0.05","<0.05","<1","<1","12","<1","<50","<0.1","16","16","0.8","<1","177","5","<0.01","99","9.7","3900","0.003","0.4","<0.01","97","<1","12","<1","3","<1","1.2","0.036","<0.5","0.05","8.1","1","0.1","16","<1","<0.02","2.6","<1","0.52","6","0.07","150","120","7.3","<2","16.3","30","1500"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2016-04-15","1","0.7","95","0.045","<0.05","<1","<1","8","<1","<50","<0.1","7","<10","0.3","<1","90","2","<0.01","98","8.7","11000","0.011","0.3","<0.01","256","1","21","<1","<2","<1","0.61","0.008","<0.5","0.046","7.8","0.2","0","16","<1","<0.02","5.5","<1","0.3","2","0.06","87","30","17.4","<2","21.7","25","3300"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2016-05-18","1","0.5","92","0.069","<0.05","<1","<1","7","<1","<50","<0.1","4","<10","0.3","<1","118","2","<0.01","102","8.6","260000","0.007","0.4","<0.01","317","1","36","<1","<2","<1","0.47","0.009","<0.5","0.053","7.8","0.2","0.1","18","<1","<0.02","4.2","<1","0.29","2","0.09","120","56","6.1","<2","23.8","27","260000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2016-06-13","1","0.8","71","0.015","<0.05","<1","<1","7","<1","<50","<0.1","5","<10","0.2","<1","83","1","<0.01","99","8.1","37000","0.012","0.3","<0.01","385","1","26","<1","<2","<1","0.4","0.005","<0.5","0.037","7.6","0.9","0","18","<1","<0.02","6.8","<1","0.2","2","0.05","120","83","9.2","<2","25.6","18","29000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2016-07-14","1","0.4","97","0.012","<0.05","<1","<1","7","<1","<50","<0.1","5","<10","0.3","<1","120","2","<0.01","99","8","15000","0.013","0.3","<0.01","493","2","16","<1","<2","<1","0.37","0.003","<0.5","0.034","8","0.6","0.1","17","<1","<0.02","7","<1","0.22","2","0.07","150","62","16.6","<2","26.2","16","3300"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2016-08-10","1","0.7","204","0.042","<0.05","<1","<1","10","<1","<50","<0.1","11","<10","0.5","<1","55","6","<0.01","98","8","39000","0.028","0.2","<0.01","392","3","22","<1","<2","1","0.57","0.026","<0.5","0.049","7.6","<0.2","0","11","<1","<0.02","7.5","<1","0.33","3","0.1","100","51","29.7","<2","25.7","42","5300"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2016-09-12","1","0.8","96","0.014","<0.05","<1","<1","7","<1","<50","<0.1","7","<10","0.3","<1","111","2","<0.01","101","8.2","8300","0.018","0.3","<0.01","195","1","14","<1","<2","<1","0.36","<0.002","<0.5","0.031","7.7","0.6","0.1","18","<1","<0.02","5.4","<1","0.08","2","0.04","110","60","8.5","<2","26.2","15","5200"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2016-10-14","1","0.3","52","0.019","<0.05","<1","<1","5","<1","<50","<0.1","3","<10","2.7","<1","142","1","<0.01","102","8.5","6400","0.006","0.3","<0.01","216","<1","<10","<1","<2","<1","0.38","0.005","<0.5","0.04","7.5","0.4","0.1","19","<1","<0.02","2.4","<1","0.25","1","0.07","78","36","4.4","<2","24.5","20","2000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2016-11-14","1","0.4","97","0.027","0.06","<1","<1","7","<1","<50","<0.1","3","<10","2.7","<1","122","2","<0.01","103","8.7","21000","0.009","0.3","<0.01","244","1","26","<1","<2","<1","0.37","0.004","<0.5","0.011","7.5","0.8","0.1","19","<1","<0.02","2.6","<1","0.18","1","0.05","76","42","6.1","<2","23.7","22","3200"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2016-12-08","1","0.3","<50","0.017","<0.05","<1","<1","6","<1","<50","<0.1","3","<10","0.5","<1","159","2","<0.01","101","9.6","6400","0.009","0.3","<0.01","152","<1","13","<1","<2","<1","0.54","0.004","<0.5","0.046","8.1","0.5","0.1","19","<1","<0.02","2.4","<1","0.31","1","0.06","84","38","3.8","<2","18","13","2000"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-01-21","1","1.1","64","0.016","<0.05","<1","<1","3","<1","<50","<0.1","<2","<10","0.5","<1","19","1","<0.01","100","9.7","880","0.012","<0.2","<0.01","82","<1","<10","<1","<2","<1","0.41","0.003","<0.5","0.004","7.4","<0.2","0","20","<1","<0.02","1.6","<1","0.26","<1","<0.02","170","28","5.4","<2","16.6","13","34"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-02-19","1","<0.1","<50","<0.005","<0.05","<1","<1","3","<1","<50","<0.1","<2","<10","0.2","<1","41","2","<0.01","100","10.1","210","0.011","<0.2","<0.01","54","<1","37","<1","<2","<1","0.31","<0.002","<0.5","0.003","7.7","<0.2","0","22","<1","<0.02","1.1","<1","0.11","<1","<0.02","60","36","4.8","<2","14.9","<10","13"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-03-18","1","<0.1","87","0.009","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","1","<1","46","<1","<0.01","101","9.2","680","0.011","0.2","<0.01","<50","<1","<10","<1","<2","<1","0.28","<0.002","<0.5","<0.002","7.7","0.7","0","20","<1","<0.02","2.3","<1","0.07","<1","<0.02","76","39","6.6","<2","20.3","12","160"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-04-22","1","1.1","375","0.12","<0.05","<1","<1","6","<1","<50","<0.1","9","<10","0.5","<1","32","1","<0.01","99","8.6","6100","0.044","<0.2","<0.01","100","7","31","<1","<2","<1","0.5","<0.002","<0.5","0.003","7.5","<0.2","0","11","<1","<0.02","88","<1","0.38","2","0.03","290","66","162.5","<2","22.5","16","3700"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-05-23","1","<0.1","<50","0.015","<0.05","<1","<1","6","<1","<50","<0.1","<2","<10","0.3","<1","36","<1","<0.01","99","8.1","1200","0.031","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.36","<0.002","<0.5","0.004","8.1","<0.2","0","17","<1","<0.02","2.5","<1","0.1","<1","0.02","78","51","5.2","<2","25.4","15","80"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-06-22","1","0.1","53","0.007","<0.05","<1","<1","3","<1","<50","<0.1","2","<10","0.3","<1","43","<1","<0.01","99","7.7","1700","0.023","<0.2","<0.01","152","1","58","<1","<2","<1","0.29","<0.002","<0.5","0.004","7.5","0.2","0","20","<1","<0.02","3.2","<1","0.05","<1","0.02","64","38","5.8","<2","28.3","11","32"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-07-21","1","<0.1","70","0.006","<0.05","<1","<1","3","<1","<50","<0.1","<2","<10","0.5","<1","43","<1","<0.01","102","7.8","1700","0.017","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.27","<0.002","<0.5","0.002","7.6","0.3","0","20","<1","<0.02","2.4","<1","0.08","<1","<0.02","86","44","5.7","<2","29.2","<10","150"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-08-19","1","0.2","52","0.015","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","0.3","<1","30","<1","<0.01","100","7.9","1400","0.036","<0.2","<0.01","<50","1","<10","<1","<2","<1","0.39","<0.002","<0.5","0.004","8.3","<0.2","0","17","<1","<0.02","8.9","<1","0.07","<1","<0.02","73","39","6","<2","27.2","<10","130"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-09-22","1","<0.1","69","<0.005","<0.05","<1","<1","3","<1","<50","<0.1","2","<10","0.6","<1","48","<1","<0.01","103","8.3","2500","0.031","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.28","<0.002","<0.5","0.005","7.5","0.5","0","20","<1","<0.02","1.7","<1","0.15","1","0.05","42","32","6","<2","26","<10","59"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-10-26","1","<0.1","<50","0.018","<0.05","<1","<1","3","<1","<50","<0.1","2","<10","0.4","<1","38","<1","<0.01","101","8.2","680","0.053","<0.2","<0.01","<50","<1","20","<1","<2","<1","0.33","<0.002","<0.5","<0.002","8.1","0.2","0","20","<1","<0.02","2","<1","0.14","<1","<0.02","60","30","4.4","<2","26.1","<10","64"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-11-23","1","0.6","94","0.015","<0.05","<1","<1","4","<1","<50","<0.1","5","<10","1.7","<1","37","<1","<0.01","101","8.8","3100","0.032","<0.2","<0.01","55","<1","<10","<1","<2","<1","0.46","<0.002","<0.5","0.003","7.6","1.3","0","18","<1","<0.02","8.2","<1","0.17","2","<0.02","82","64","9","<2","22","12","460"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-12-15","1","0.3","<50","<0.005","<0.05","<1","<1","2","<1","<50","<0.1","3","<10","<0.2","<1","43","<1","<0.01","103","9.8","35","0.02","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.23","0.005","<0.5","0.005","7.4","<0.2","0","24","<1","<0.02","0.8","<1","0.09","1","<0.02","67","30","4","<2","17.9","<10","21"
"Deep Bay","Tai Shui Hang Stream","DB2","2016-01-21","1","1.3","55","0.018","<0.05","<1","<1","8","<1","<50","<0.1","<2","<10","0.3","<1","24","1","<0.01","99","9.6","630","0.16","0.2","<0.01","135","<1","109","<1","<2","<1","0.38","<0.002","<0.5","0.004","7.6","0.2","0","20","<1","<0.02","1.1","<1","0.16","<1","<0.02","97","38","2.7","<2","16.7","29","100"
"Deep Bay","Tai Shui Hang Stream","DB2","2016-02-19","1","<0.1","81","0.016","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","0.5","<1","51","<1","<0.01","99","10","59","0.2","<0.2","<0.01","59","<1","34","<1","<2","<1","0.23","<0.002","<0.5","0.004","7.9","<0.2","0","24","<1","<0.02","<0.5","<1","0.17","<1","<0.02","94","52","2.9","<2","14.8","19","45"
"Deep Bay","Tai Shui Hang Stream","DB2","2016-03-18","1","0.3","109","0.008","<0.05","<1","<1","3","<1","<50","<0.1","<2","<10","0.4","<1","55","<1","<0.01","101","9","240","0.15","0.2","<0.01","63","<1","20","<1","<2","<1","0.24","<0.002","<0.5","0.002","7.8","1.9","0","23","<1","<0.02","0.9","<1","0.08","<1","<0.02","90","58","3","<2","21","15","45"
"Deep Bay","Tai Shui Hang Stream","DB2","2016-04-22","1","1.8","543","0.11","<0.05","<1","<1","14","<1","<50","<0.1","15","<10","1.3","<1","42","3","<0.01","98","8.5","12000","0.52","<0.2","<0.01","506","22","124","<1","<2","1","0.49","0.003","<0.5","0.002","7.6","2.1","0","12","<1","<0.02","260","<1","0.7","3","0.04","370","93","225.8","<2","22.5","30","6800"
"Deep Bay","Tai Shui Hang Stream","DB2","2016-05-23","1","<0.1","51","0.016","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","0.3","<1","44","<1","<0.01","99","8","3200","0.17","<0.2","<0.01","104","2","55","<1","<2","<1","0.43","<0.002","<0.5","0.005","8.1","0.2","0","19","<1","<0.02","4.4","<1","0.13","<1","0.03","77","42","9.1","<2","26.6","<10","110"
"Deep Bay","Tai Shui Hang Stream","DB2","2016-06-22","1","0.2","79","0.007","<0.05","<1","<1","3","<1","<50","<0.1","2","11","0.4","<1","81","2","<0.01","101","7.7","3400","0.1","<0.2","<0.01","304","1","28","<1","<2","<1","0.29","<0.002","<0.5","0.005","7.8","<0.2","0","22","<1","<0.02","2.2","<1","0.07","1","<0.02","66","22","6.4","<2","29.6","13","170"
"Deep Bay","Tai Shui Hang Stream","DB2","2016-07-21","1","0.2","69","0.01","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","0.3","<1","56","1","<0.01","103","7.8","3100","0.12","0.2","<0.01","383","1","83","<1","<2","<1","0.27","0.002","<0.5","<0.002","7.8","0.3","0","23","<1","<0.02","2.1","<1","0.1","<1","<0.02","76","28","4.8","<2","30","<10","140"
"Deep Bay","Tai Shui Hang Stream","DB2","2016-08-19","1","0.3","65","0.015","<0.05","<1","<1","5","<1","<50","<0.1","<2","18","0.2","<1","112","<1","<0.01","100","7.9","2200","0.16","<0.2","<0.01","97","2","41","<1","<2","<1","0.48","<0.002","<0.5","0.005","8.4","<0.2","0.1","17","<1","<0.02","5","<1","0.07","<1","<0.02","100","42","8.1","<2","27.5","<10","140"
"Deep Bay","Tai Shui Hang Stream","DB2","2016-09-22","1","0.2","<50","0.01","<0.05","<1","<1","3","<1","<50","<0.1","3","<10","1.4","<1","54","3","<0.01","106","8.5","1600","0.26","<0.2","<0.01","86","<1","15","<1","<2","<1","0.29","<0.002","<0.5","0.005","7.6","0.8","0","22","<1","<0.02","1.4","<1","0.07","<1","0.03","46","31","3.4","<2","26.8","12","80"
"Deep Bay","Tai Shui Hang Stream","DB2","2016-10-26","1","<0.1","<50","0.009","<0.05","<1","<1","3","<1","<50","<0.1","<2","<10","<0.2","<1","43","<1","<0.01","101","8","1200","0.33","<0.2","<0.01","56","<1","18","<1","<2","<1","0.32","0.002","<0.5","0.011","8.2","0.4","0","23","<1","<0.02","1","<1","0.13","<1","<0.02","58","43","3.6","<2","27","<10","80"
"Deep Bay","Tai Shui Hang Stream","DB2","2016-11-23","1","1.1","596","0.026","0.07","<1","1","13","<1","<50","0.1","6","<10","1.2","<1","65","5","<0.01","100","8.7","20000","0.32","<0.2","<0.01","693","12","76","<1","<2","<1","0.49","0.009","<0.5","0.004","7.9","0.3","0","17","<1","<0.02","55","<1","0.35","2","0.06","180","100","44.7","<2","22.1","20","2600"
"Deep Bay","Tai Shui Hang Stream","DB2","2016-12-15","1","0.3","<50","0.006","<0.05","<1","<1","3","<1","<50","<0.1","2","15","0.2","<1","85","<1","<0.01","102","9.6","330","0.19","<0.2","<0.01","91","<1","28","<1","<2","<1","0.2","<0.002","<0.5","0.004","7.4","<0.2","0","25","<1","<0.02","1.4","<1","0.1","<1","<0.02","68","26","2.5","<2","18.4","<10","27"
"Deep Bay","Pak Nai Stream","DB3","2016-01-21","1","1.3","<50","0.019","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","0.4","<1","43","<1","<0.01","98","9.6","1900","0.015","<0.2","<0.01","88","<1","18","<1","<2","<1","0.3","0.005","<0.5","0.004","7.2","<0.2","0","20","<1","<0.02","7.2","<1","0.16","<1","<0.02","160","30","5.1","<2","16.7","25","310"
"Deep Bay","Pak Nai Stream","DB3","2016-02-19","1","<0.1","50","0.021","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","<0.2","<1","48","<1","<0.01","98","9.9","430","0.029","<0.2","<0.01","105","<1","42","<1","<2","<1","0.24","<0.002","<0.5","0.003","7.6","0.3","0","23","<1","<0.02","1.1","<1","0.18","<1","<0.02","86","46","4.9","<2","15","16","170"
"Deep Bay","Pak Nai Stream","DB3","2016-03-18","1","0.2","68","0.01","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","0.6","<1","53","1","<0.01","99","8.8","550","0.019","0.2","<0.01","125","<1","18","<1","<2","<1","0.24","0.009","<0.5","0.002","7.5","2.1","0","20","<1","<0.02","8","<1","0.11","<1","<0.02","82","34","17.5","<2","21.3","16","280"
"Deep Bay","Pak Nai Stream","DB3","2016-04-22","1","1.4","336","0.079","<0.05","<1","<1","7","<1","<50","<0.1","12","<10","0.9","<1","39","2","<0.01","99","8.5","26000","0.054","<0.2","<0.01","265","15","50","<1","<2","<1","0.39","0.003","<0.5","0.004","7.2","0.5","0","10","<1","<0.02","210","<1","0.61","3","0.06","290","68","214.5","<2","22.6","25","4900"
"Deep Bay","Pak Nai Stream","DB3","2016-05-23","1","<0.1","52","0.03","<0.05","<1","<1","8","<1","<50","<0.1","<2","<10","<0.2","<1","35","<1","<0.01","95","7.7","7500","0.059","<0.2","<0.01","80","2","54","<1","<2","<1","0.25","<0.002","<0.5","0.004","7.6","<0.2","0","18","<1","<0.02","8.3","<1","0.1","<1","<0.02","90","34","13.6","<2","26.4","14","370"
"Deep Bay","Pak Nai Stream","DB3","2016-06-22","1","<0.1","<50","0.025","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","<0.2","<1","63","<1","<0.01","96","7.5","3900","0.036","<0.2","<0.01","175","1","48","<1","<2","<1","0.3","<0.002","<0.5","0.011","7.2","<0.2","0","20","<1","<0.02","5.6","<1","0.12","<1","0.03","74","32","8.7","<2","28","<10","1000"
"Deep Bay","Pak Nai Stream","DB3","2016-07-21","1","0.2","<50","0.024","<0.05","<1","<1","5","<1","<50","<0.1","<2","<10","0.3","<1","68","1","<0.01","98","7.5","6300","0.03","<0.2","<0.01","150","1","53","<1","<2","<1","0.22","<0.002","<0.5","<0.002","7","0.3","0","20","<1","<0.02","4.7","<1","0.09","<1","<0.02","94","40","7.4","<2","29.2","13","800"
"Deep Bay","Pak Nai Stream","DB3","2016-08-19","1","0.2","58","0.033","<0.05","<1","<1","5","<1","<50","<0.1","3","<10","0.9","<1","60","<1","<0.01","99","7.8","2900","0.048","<0.2","<0.01","122","2","43","<1","<2","<1","0.26","<0.002","<0.5","0.005","7.9","<0.2","0","18","<1","<0.02","14","<1","0.1","<1","0.04","110","68","17.6","<2","27","<10","380"
"Deep Bay","Pak Nai Stream","DB3","2016-09-22","1","<0.1","<50","0.014","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","0.5","<1","49","<1","<0.01","99","7.9","1500","0.041","<0.2","<0.01","71","<1","27","<1","<2","<1","0.23","0.003","<0.5","0.005","7.3","0.3","0","21","<1","<0.02","2.9","<1","0.08","<1","0.02","79","38","7.1","<2","26.7","11","250"
"Deep Bay","Pak Nai Stream","DB3","2016-10-26","1","<0.1","<50","0.09","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","0.3","<1","49","3","<0.01","97","7.8","1200","0.049","<0.2","<0.01","60","<1","28","<1","<2","<1","0.26","<0.002","0.5","0.017","7.7","<0.2","0","20","<1","<0.02","1.9","<1","0.1","<1","<0.02","55","18","5.7","<2","26.5","<10","150"
"Deep Bay","Pak Nai Stream","DB3","2016-11-23","1","0.2","97","0.008","0.05","<1","<1","5","<1","<50","<0.1","3","<10","0.6","<1","25","5","<0.01","99","8.6","2900","0.044","<0.2","<0.01","168","1","31","<1","<2","<1","0.31","0.003","<0.5","0.004","7.2","0.2","0","19","<1","<0.02","4.2","<1","0.28","2","0.02","76","63","8.6","<2","21.9","<10","800"
"Deep Bay","Pak Nai Stream","DB3","2016-12-15","1","0.2","<50","0.019","<0.05","<1","<1","4","<1","<50","<0.1","3","<10","0.3","<1","53","<1","<0.01","100","9.4","210","0.017","<0.2","<0.01","107","<1","24","<1","<2","<1","0.21","<0.002","<0.5","0.004","7.3","<0.2","0","24","<1","<0.02","1.4","<1","0.09","<1","<0.02","66","24","3","<2","18.3","18","190"
"Deep Bay","Sheung Pak Nai Stream","DB5","2016-01-21","1","2.1","<50","0.45","<0.05","<1","<1","4","<1","<50","<0.1","3","<10","1.6","<1","28","2","<0.01","98","9.5","12000","0.021","<0.2","<0.01","347","1","101","<1","<2","<1","0.43","0.005","<0.5","0.048","7","1","0","19","<1","<0.02","5","<1","1.2","2","0.12","70","30","8.5","<2","17.1","13","5200"
