"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-𝘢 (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (psu)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)","𝐸. 𝑐𝑜𝑙𝑖  (counts/100mL)"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-01-06","1","7.8","<50","0.72","0.05","<1","<1","14","<1","320","<0.1","39","2200","0.3","2","6717","5","<0.01","100","9","160000","null","0.6","<0.01","80","<1","<10","<1","2","3","1","0.11","<0.5","0.1","7.6","<0.2","4.2","12","<1","<0.02","20","<1","1.9","7","0.2","5100","1200","8.8","<2","18.9","20","12000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-02-17","1","1.6","<50","0.079","0.09","<1","<1","18","<1","1300","0.1","48","7900","1","1","16732","4","<0.01","100","8.8","3600","null","0.6","<0.01","<50","<1","10","<1","5","4","0.79","0.01","0.7","0.041","7.9","0.6","11.4","5.8","<1","<0.02","2.7","<1","0.21","2","0.06","15000","2500","1.8","<2","18.5","60","290"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-03-02","1","3.1","<50","0.31","0.05","<1","1","16","<1","1600","0.1","61","8200","27","1","17075","4","<0.01","99","9.8","9000","null","0.7","<0.01","50","<1","<10","<1","6","5","1.2","0.05","<0.5","0.098","8","18","13.7","7.6","<1","<0.02","27","<1","0.92","11","0.26","19000","4900","8.8","<2","12","30","3400"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-04-13","1","3.8","<50","0.23","0.09","<1","<1","19","<1","460","<0.1","29","2200","1.5","1","7045","4","<0.01","103","8.4","180000","null","0.5","<0.01","<50","<1","<10","<1","3","3","1.8","0.089","<0.5","0.081","8.1","1.2","3.9","8","<1","<0.02","3.1","<1","0.68","8","0.13","4800","1200","2.5","<2","24.8","10","9000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-05-09","1","<0.1","<50","0.21","<0.05","<1","<1","19","<1","110","<0.1","4","170","0.6","<1","661","5","<0.01","101","8.3","3900","null","0.3","<0.01","<50","<1","10","<1","<2","1","2","0.011","<0.5","0.046","6.7","<0.2","0.3","9","<1","<0.02","1.2","<1","7.3","9","0.11","560","180","1.1","<2","25.5","30","2700"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-06-08","1","<0.1","<50","0.023","<0.05","<1","<1","9","<1","60","<0.1","9","250","2","<1","944","1","<0.01","100","8.3","25000","null","0.4","<0.01","90","<1","<10","<1","<2","<1","0.53","0.011","<0.5","0.058","7.5","<0.2","0.5","15","<1","<0.02","3.4","<1","0.43","2","0.07","810","230","5","<2","24.6","<10","23000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-07-18","1","<0.1","60","0.05","<0.05","<1","<1","8","<1","<50","<0.1","7","96","2.5","<1","446","<1","<0.01","101","8","260000","null","0.4","<0.01","90","<1","<10","<1","<2","<1","0.47","0.005","<0.5","0.078","8","<0.2","0.2","18","<1","<0.02","4.4","<1","0.21","2","0.08","340","110","5.3","<2","26.9","10","100000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-08-08","1","0.5","60","0.05","<0.05","<1","<1","7","<1","<50","<0.1","9","100","1.7","<1","450","1","<0.01","100","7.9","54000","null","0.3","<0.01","110","<1","<10","<1","<2","<1","0.41","0.02","<0.5","0.067","7.6","<0.2","0.2","18","<1","<0.02","3.2","<1","0.29","2","0.08","340","72","5.8","<2","27.4","<10","42000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-09-19","1","<0.1","<50","<0.005","0.07","<1","<1","9","<1","200","<0.1","11","920","0.5","<1","2943","1","<0.01","100","7.9","19000","null","0.4","<0.01","100","<1","10","<1","<2","<1","0.47","0.008","<0.5","0.063","7.6","0.7","1.5","17","<1","<0.02","3.4","<1","0.2","2","0.07","2400","820","5.6","<2","27","<10","10000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-10-24","1","0.7","<50","0.042","0.06","<1","<1","12","<1","720","<0.1","17","4400","0.9","1","7515","1","<0.01","99","8.5","90000","null","0.5","<0.01","<50","<1","<10","<1","3","2","0.57","0.014","<0.5","0.055","7.8","0.9","4.4","14","<1","<0.02","4.7","<1","0.16","1","0.07","9000","1800","6.6","<2","21.9","<10","11000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-11-21","1","0.5","<50","0.023","<0.05","<1","<1","10","<1","470","<0.1","29","3800","0.2","1","6534","2","<0.01","101","9","14000","null","0.5","<0.01","<50","<1","<10","<1","3","2","0.62","0.024","<0.5","0.086","7.9","<0.2","4","15","<1","<0.02","16","<1","0.25","3","0.1","7500","1200","18.3","<2","19.9","<10","800"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2024-12-07","1","0.7","<50","0.024","<0.05","<1","<1","8","<1","<50","<0.1","2","180","1.7","<1","576","1","<0.01","101","9.3","1500","null","0.4","<0.01","110","<1","<10","<1","<2","2","0.35","0.013","<0.5","0.048","7.7","<0.2","0.3","18","<1","<0.02","1.6","<1","0.12","2","0.07","600","130","2.9","<2","19.1","<10","260"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2024-01-06","1","15","70","<0.005","<0.05","<1","<1","6","<1","<50","<0.1","7","36","<0.2","1","111","1","<0.01","103","9.7","2000","0.003","0.4","<0.01","130","<1","<10","<1","<2","<1","0.23","0.005","<0.5","0.032","8.1","<0.2","0.1","17","<1","<0.02","1.5","<1","0.1","2","0.04","98","39","4.2","<2","18.2","<10","800"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2024-02-17","1","12","<50","0.017","<0.05","<1","<1","7","<1","<50","<0.1","7","26","2.4","<1","128","2","<0.01","116","10.7","5900","0.001","0.6","<0.01","<50","<1","<10","<1","<2","1","0.47","0.046","1.3","0.088","8.8","1.9","0.1","14","<1","<0.02","1.9","<1","0.29","4","0.1","170","81","1.1","<2","19","<10","1900"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2024-03-02","1","3.7","<50","0.58","0.06","<1","<1","9","<1","<50","<0.1","19","21","16","<1","180","6","<0.01","104","11.7","12000","0.001","0.6","<0.01","50","<1","10","<1","<2","2","1.3","0.11","<0.5","0.14","8.1","9.3","0.1","18","<1","<0.02","14","<1","1.7","8","0.31","200","94","3.9","<2","10.1","20","11000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2024-04-13","1","4.7","<50","0.016","1.5","<1","<1","14","<1","<50","<0.1","16","110","2.5","<1","279","4","<0.01","107","9","23000","0.001","0.7","<0.01","<50","<1","<10","<1","3","2","0.26","0.009","<0.5","0.19","8.2","1.8","0.1","20","<1","<0.02","<0.5","<1","0.27","10","0.25","280","82","1.9","<2","23.8","20","1300"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2024-05-09","1","0.4","<50","0.018","<0.05","<1","<1","6","<1","<50","<0.1","11","<10","0.9","<1","125","2","<0.01","102","8.7","360000","0.006","0.4","<0.01","240","<1","20","<1","<2","<1","0.33","0.005","<0.5","0.074","7.7","0.4","0.1","18","<1","<0.02","2.7","<1","0.28","5","0.08","170","46","7.6","<2","23.5","20","350000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2024-06-08","1","<0.1","50","0.08","<0.05","<1","<1","5","<1","<50","<0.1","9","<10","0.7","<1","106","1","<0.01","101","8.5","44000","0.006","0.3","<0.01","180","<1","20","<1","<2","<1","0.24","0.003","<0.5","0.045","7.4","0.3","0.1","16","<1","<0.02","3.5","<1","0.47","3","0.06","170","110","7.3","<2","24.2","<10","40000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2024-07-18","1","<0.1","130","0.029","<0.05","<1","<1","5","<1","<50","<0.1","8","<10","1.1","<1","112","2","<0.01","102","8.2","150000","0.003","0.3","<0.01","170","<1","10","<1","<2","<1","0.19","0.006","<0.5","0.03","7.7","<0.2","0.1","18","<1","<0.02","4.4","<1","0.2","2","0.04","130","72","8.7","<2","26.3","10","150000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2024-08-08","1","1.6","80","0.006","<0.05","<1","<1","5","<1","<50","<0.1","5","<10","1.7","<1","118","<1","<0.01","100","8","160000","0.006","0.3","<0.01","140","<1","<10","<1","<2","<1","0.16","<0.002","<0.5","0.057","7.7","<0.2","0.1","18","<1","<0.02","3.4","<1","0.16","2","0.07","130","28","7.9","<2","26.9","<10","79000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2024-09-19","1","0.8","130","<0.005","0.07","<1","<1","5","<1","<50","<0.1","4","<10","4","<1","124","<1","<0.01","102","8.2","15000","0.005","0.3","<0.01","180","<1","<10","<1","<2","<1","0.16","0.003","<0.5","0.049","7.5","0.9","0.1","19","<1","<0.02","6.6","<1","0.17","2","0.05","130","69","7.9","<2","26.8","<10","15000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2024-10-24","1","0.3","60","0.01","<0.05","<1","<1","4","<1","<50","<0.1","5","14","1","<1","115","<1","<0.01","100","8.9","160000","0.004","0.3","<0.01","90","<1","<10","<1","<2","1","0.018","0.012","<0.5","0.028","7.7","0.4","0.1","19","<1","<0.02","4.8","<1","0.12","1","0.05","150","69","6.5","<2","21.4","<10","3000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2024-11-21","1","0.2","150","0.031","<0.05","<1","<1","6","<1","<50","<0.1","8","<10","<0.2","1","84","2","<0.01","101","9.2","10000","0.01","0.3","<0.01","200","<1","<10","<1","<2","<1","0.58","0.015","<0.5","0.13","7.6","<0.2","0","17","<1","0.02","9.2","<1","0.22","3","0.14","110","38","25.7","<2","19.9","10","590"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2024-12-07","1","0.5","80","<0.005","<0.05","<1","<1","5","<1","<50","<0.1","3","<10","1.2","<1","151","6","<0.01","101","9.4","1400","0.001","0.4","<0.01","240","<1","<10","<1","<2","<1","0.12","0.009","<0.5","0.038","7.8","0.4","0.1","20","<1","<0.02","1.6","<1","0.07","2","0.06","100","32","5.8","<2","18.8","<10","530"
"Deep Bay","Ha Pak Nai Stream","DB1","2024-01-24","1","1.3","<50","0.01","<0.05","<1","<1","3","<1","<50","<0.1","3","<10","0.6","<1","37","2","<0.01","100","11","420","0.011","<0.2","<0.01","<50","<1","10","<1","<2","<1","0.79","0.004","<0.5","0.017","7.1","<0.2","0","26","<1","<0.02","0.7","<1","<0.05","<1","<0.02","76","44","4.4","<2","11.1","<10","160"
"Deep Bay","Ha Pak Nai Stream","DB1","2024-02-26","1","0.4","<50","0.015","<0.05","<1","<1","3","<1","<50","<0.1","2","55","0.6","<1","39","<1","<0.01","98","9.6","2000","0.006","<0.2","<0.01","<50","<1","20","<1","<2","<1","0.29","<0.002","<0.5","0.023","6.8","<0.2","0","20","<1","<0.02","5.2","<1","0.08","<1","0.03","150","46","4.7","<2","16.6","<10","30"
"Deep Bay","Ha Pak Nai Stream","DB1","2024-03-22","1","<0.1","<50","0.011","<0.05","<1","<1","4","<1","<50","<0.1","3","<10","0.6","<1","50","<1","<0.01","99","8.7","360","0.008","0.2","<0.01","<50","<1","10","<1","<2","1","0.29","0.009","<0.5","0.016","7.4","0.3","0","20","<1","<0.02","0.6","<1","0.11","2","0.03","61","39","6.3","<2","21.5","<10","47"
"Deep Bay","Ha Pak Nai Stream","DB1","2024-04-05","1","0.4","<50","0.046","<0.05","<1","<1","4","<1","<50","<0.1","3","<10","2.8","<1","54","<1","<0.01","94","7.8","15000","0.002","0.2","<0.01","<50","<1","20","<1","<2","<1","0.33","<0.002","<0.5","0.018","7","0.3","0","20","<1","<0.02","3.4","<1","0.11","2","0.03","110","46","3.2","<2","24.9","<10","130"
"Deep Bay","Ha Pak Nai Stream","DB1","2024-05-08","1","1.5","60","0.016","<0.05","<1","<1","2","<1","<50","<0.1","4","<10","<0.2","<1","72","<1","<0.01","95","7.8","22000","0","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.39","0.003","<0.5","0.034","7.2","<0.2","0","20","<1","<0.02","7.8","<1","0.07","2","0.06","130","55","13.7","<2","25","<10","300"
"Deep Bay","Ha Pak Nai Stream","DB1","2024-06-12","1","1.2","<50","0.011","<0.05","<1","2","2","<1","<50","<0.1","6","<10","0.6","<1","89","<1","<0.01","99","7.7","12000","0.044","0.2","<0.01","<50","<1","<10","<1","<2","<1","0.4","0.012","<0.5","0.045","8.2","<0.2","0","20","<1","<0.02","45","<1","0.25","5","0.08","780","170","396.2","3","28.1","<10","500"
"Deep Bay","Ha Pak Nai Stream","DB1","2024-07-03","1","<0.1","120","0.037","<0.05","<1","2","2","<1","<50","<0.1","2","<10","1","<1","95","<1","<0.01","99","7.5","2900","0.026","0.2","<0.01","100","<1","30","<1","<2","<1","0.29","0.005","<0.5","0.03","8.7","0.7","0","20","<1","<0.02","7.8","<1","0.1","2","0.04","80","51","11.4","<2","29.7","<10","76"
"Deep Bay","Ha Pak Nai Stream","DB1","2024-08-01","1","<0.1","<50","0.022","<0.05","<1","1","2","<1","<50","<0.1","8","11","0.5","<1","108","<1","<0.01","99","7.7","16000","0.031","0.2","<0.01","<50","<1","<10","<1","<2","<1","0.3","0.008","<0.5","0.032","8.1","0.6","0.1","19","<1","0.02","160","<1","0.12","2","0.07","370","120","112.8","<2","28.6","<10","240"
"Deep Bay","Ha Pak Nai Stream","DB1","2024-09-05","1","0.5","50","0.027","<0.05","<1","2","2","<1","<50","<0.1","4","<10","1.6","<1","95","<1","<0.01","97","7.6","1700","0.007","0.2","<0.01","170","<1","130","<1","<2","<1","0.29","0.005","<0.5","0.098","8","1.6","0","20","<1","0.03","19","<1","0.12","1","0.12","150","81","31.4","<2","28","<10","80"
"Deep Bay","Ha Pak Nai Stream","DB1","2024-10-04","1","<0.1","<50","0.031","<0.05","<1","1","2","<1","<50","<0.1","3","86","1.3","<1","71","<1","<0.01","99","8.5","1600","0.028","0.2","<0.01","120","<1","80","<1","<2","<1","0.45","0.017","<0.5","0.047","7.8","0.4","0","20","<1","<0.02","24","<1","0.11","2","0.06","230","65","23.1","<2","22.9","<10","22"
"Deep Bay","Ha Pak Nai Stream","DB1","2024-11-07","1","<0.1","<50","0.013","<0.05","<1","1","2","<1","<50","<0.1","6","56","1.5","<1","83","<1","<0.01","98","8.5","3000","0.007","0.3","<0.01","190","<1","60","<1","<2","<1","0.23","<0.002","<0.5","0.035","8.4","1.1","0","21","<1","<0.02","10","<1","0.09","1","0.05","130","18","11.3","<2","22.6","<10","19"
"Deep Bay","Ha Pak Nai Stream","DB1","2024-12-05","1","0.1","<50","0.016","<0.05","<1","1","3","<1","<50","<0.1","2","26","1","<1","79","<1","<0.01","98","9","1000","0.008","0.2","<0.01","130","<1","60","<1","<2","<1","0.28","<0.002","<0.5","0.038","7.8","<0.2","0","20","<1","<0.02","19","<1","<0.05","1","0.04","120","30","27.7","<2","19.7","10","33"
"Deep Bay","Tai Shui Hang Stream","DB2","2024-01-24","1","<0.1","<50","0.013","<0.05","<1","<1","3","<1","<50","<0.1","5","<10","0.3","<1","53","3","<0.01","102","11","210","0.728","0.2","<0.01","<50","<1","20","<1","<2","<1","0.44","0.003","<0.5","0.025","7.6","<0.2","0","27","<1","<0.02","1.5","<1","<0.05","1","0.02","67","34","1.7","<2","11.9","<10","90"
"Deep Bay","Tai Shui Hang Stream","DB2","2024-02-26","1","1.1","<50","<0.005","<0.05","<1","<1","2","<1","<50","<0.1","6","<10","<0.2","<1","54","<1","<0.01","102","9.8","1800","0.113","0.2","<0.01","60","<1","20","<1","<2","2","0.14","<0.002","<0.5","0.016","7.6","<0.2","0","21","<1","<0.02","8.7","<1","0.14","3","0.02","78","24","2.6","<2","17.1","<10","110"
"Deep Bay","Tai Shui Hang Stream","DB2","2024-03-22","1","<0.1","<50","0.007","<0.05","<1","<1","4","<1","<50","<0.1","4","<10","0.6","<1","72","<1","<0.01","106","9.1","790","0.96","0.3","<0.01","<50","<1","20","<1","<2","<1","0.055","0.014","<0.5","0.005","7.7","<0.2","0","20","<1","<0.02","0.6","<1","0.07","2","0.03","61","34","2.2","<2","23","<10","19"
"Deep Bay","Tai Shui Hang Stream","DB2","2024-04-05","1","0.9","<50","0.01","<0.05","<1","<1","5","<1","<50","<0.1","4","<10","1.6","<1","76","<1","<0.01","95","7.8","5300","0.08","0.3","<0.01","100","<1","60","<1","<2","<1","0.11","0.003","<0.5","0.017","7.3","<0.2","0","19","<1","<0.02","5","<1","0.12","2","<0.02","120","47","4.4","<2","25.6","<10","220"
"Deep Bay","Tai Shui Hang Stream","DB2","2024-05-08","1","0.9","<50","0.045","<0.05","<1","<1","5","<1","<50","<0.1","8","160","0.2","<1","438","<1","<0.01","88","7.3","15000","0.16","<0.2","<0.01","<50","<1","40","<1","<2","<1","0.27","0.007","<0.5","0.043","7.3","<0.2","0.2","19","<1","<0.02","2.3","<1","0.17","2","0.06","400","92","6.5","<2","25.2","<10","350"
"Deep Bay","Tai Shui Hang Stream","DB2","2024-06-12","1","0.7","<50","0.012","<0.05","<1","<1","2","<1","<50","<0.1","5","<10","2.5","<1","62","<1","<0.01","101","7.9","2200","0.43","<0.2","<0.01","70","<1","20","<1","<2","1","0.32","0.006","<0.5","0.026","7.3","1.1","0","20","<1","<0.02","5.1","<1","0.09","1","0.03","120","100","7.3","<2","28.4","<10","130"
"Deep Bay","Tai Shui Hang Stream","DB2","2024-07-03","1","<0.1","60","0.037","<0.05","<1","<1","2","<1","<50","<0.1","3","<10","1.1","<1","75","<1","<0.01","110","8.3","4300","0.252","0.2","<0.01","<50","<1","20","<1","<2","<1","0.19","0.004","<0.5","0.055","8.2","<0.2","0","20","<1","<0.02","8.6","<1","0.08","2","0.06","70","41","16.6","<2","30.3","<10","130"
"Deep Bay","Tai Shui Hang Stream","DB2","2024-08-01","1","<0.1","<50","0.019","<0.05","<1","<1","2","<1","<50","<0.1","7","16","2","<1","71","<1","<0.01","103","7.9","6600","1.032","<0.2","<0.01","50","<1","20","<1","<2","<1","0.25","0.011","<0.5","0.023","7.6","1","0","20","<1","<0.02","15","<1","0.08","2","0.03","110","53","12.8","<2","28.9","<10","260"
"Deep Bay","Tai Shui Hang Stream","DB2","2024-09-05","1","0.4","<50","0.016","<0.05","<1","<1","2","<1","<50","<0.1","5","<10","5.8","<1","86","<1","<0.01","110","8.6","8700","1.664","0.3","<0.01","60","<1","20","<1","<2","<1","0.21","0.003","<0.5","0.06","7.9","2","0","20","<1","<0.02","2.7","<1","0.07","1","0.07","92","68","5.7","<2","28.1","<10","610"
"Deep Bay","Tai Shui Hang Stream","DB2","2024-10-04","1","<0.1","<50","0.01","<0.05","<1","<1","2","<1","<50","<0.1","3","14","0.5","<1","58","<1","<0.01","103","8.9","930","0.27","0.2","<0.01","110","<1","20","<1","<2","<1","0.27","<0.002","<0.5","0.078","7.1","0.3","0","20","<1","<0.02","2","<1","<0.05","<1","0.1","76","22","3.4","<2","22.7","<10","120"
"Deep Bay","Tai Shui Hang Stream","DB2","2024-11-07","1","<0.1","<50","0.009","<0.05","<1","<1","2","<1","<50","<0.1","5","37","0.7","<1","173","<1","<0.01","102","8.8","3500","0.128","0.3","<0.01","<50","<1","10","<1","<2","<1","0.14","<0.002","<0.5","0.038","7.7","0.7","0.1","20","<1","<0.02","3.8","<1","<0.05","<1","0.04","170","36","4.4","<2","22.5","<10","80"
"Deep Bay","Tai Shui Hang Stream","DB2","2024-12-05","1","<0.1","<50","0.011","<0.05","<1","<1","2","<1","<50","<0.1","3","13","0.5","<1","73","<1","<0.01","101","9.3","440","0.12","0.2","<0.01","<50","<1","20","<1","<2","<1","0.19","<0.002","<0.5","0.04","7","0.3","0","20","<1","<0.02","3.2","<1","<0.05","<1","0.06","88","22","4.2","<2","19.5","<10","80"
"Deep Bay","Pak Nai Stream","DB3","2024-01-24","1","<0.1","<50","0.012","0.05","<1","<1","5","<1","<50","<0.1","7","<10","0.9","<1","56","3","<0.01","100","10.9","6900","0.13","<0.2","<0.01","<50","<1","40","<1","<2","<1","0.57","<0.002","<0.5","0.016","6.7","<0.2","0","26","<1","<0.02","1.2","<1","0.07","<1","<0.02","88","52","1.8","<2","11.5","<10","580"
"Deep Bay","Pak Nai Stream","DB3","2024-02-26","1","0.6","<50","0.01","<0.05","<1","<1","4","<1","<50","<0.1","5","<10","0.2","<1","59","<1","<0.01","99","9.5","32000","0.09","<0.2","<0.01","60","<1","40","<1","<2","1","0.26","<0.002","<0.5","0.022","6.8","<0.2","0","20","<1","<0.02","1.8","<1","0.07","1","0.03","78","28","2.4","<2","17.2","<10","450"
"Deep Bay","Pak Nai Stream","DB3","2024-03-22","1","0.4","<50","0.032","<0.05","<1","<1","4","<1","<50","<0.1","7","<10","0.5","<1","77","<1","<0.01","100","8.6","68000","0.066","0.2","<0.01","<50","<1","30","<1","<2","<1","0.29","0.01","<0.5","0.015","7.2","<0.2","0","20","<1","<0.02","2.2","<1","0.09","1","0.03","110","86","2.4","<2","23","<10","1400"
"Deep Bay","Pak Nai Stream","DB3","2024-04-05","1","0.8","<50","0.017","<0.05","<1","<1","4","<1","<50","<0.1","4","<10","1","<1","79","<1","<0.01","101","8.2","27000","0.007","0.2","<0.01","<50","<1","20","<1","<2","<1","0.26","0.004","<0.5","0.016","7.1","0.6","0","20","<1","<0.02","<0.5","<1","0.15","2","<0.02","120","61","2.5","<2","26.2","<10","900"
"Deep Bay","Pak Nai Stream","DB3","2024-05-08","1","1.1","<50","0.058","<0.05","<1","<1","6","<1","<50","<0.1","14","11","1.9","<1","133","<1","<0.01","96","7.9","28000","0.173","<0.2","<0.01","<50","<1","20","<1","<2","<1","1.5","0.021","<0.5","0.33","6.9","0.7","0.1","20","<1","<0.02","37","<1","0.08","2","0.37","200","68","14.7","<2","25.5","10","1700"
"Deep Bay","Pak Nai Stream","DB3","2024-06-12","1","0.7","<50","0.016","<0.05","<1","1","4","<1","<50","<0.1","<2","<10","0.8","<1","80","<1","<0.01","97","7.6","8100","1.544","<0.2","<0.01","70","<1","60","<1","<2","<1","0.28","<0.002","<0.5","0.026","6.6","0.5","0","20","<1","<0.02","3.2","<1","0.07","1","0.03","100","74","8.5","<2","27.9","<10","200"
"Deep Bay","Pak Nai Stream","DB3","2024-07-03","1","<0.1","<50","0.036","<0.05","<1","1","4","<1","<50","<0.1","5","<10","0.8","<1","83","<1","<0.01","99","7.6","4300","0.223","<0.2","<0.01","<50","<1","50","<1","<2","<1","0.25","<0.002","<0.5","0.038","7.1","0.7","0","20","<1","<0.02","2.2","<1","0.07","1","0.05","80","44","6.4","<2","29.2","<10","390"
"Deep Bay","Pak Nai Stream","DB3","2024-08-01","1","<0.1","<50","0.022","<0.05","<1","2","3","<1","<50","<0.1","2","<10","1.4","<1","66","<1","<0.01","96","7.4","12000","0.964","<0.2","<0.01","<50","<1","40","<1","<2","<1","0.24","<0.002","<0.5","0.026","6.8","<0.2","0","20","<1","<0.02","4.4","<1","0.05","1","0.03","120","68","9.9","<2","28.6","<10","300"
"Deep Bay","Pak Nai Stream","DB3","2024-09-05","1","0.9","<50","0.043","<0.05","<1","2","3","<1","<50","<0.1","4","<10","1.9","<1","71","<1","<0.01","94","7.5","13000","0.074","<0.2","<0.01","<50","<1","40","<1","<2","<1","0.43","0.004","<0.5","0.11","6.7","0.9","0","20","<1","<0.02","5.2","<1","0.07","<1","0.11","110","60","7.9","<2","27.3","<10","710"
"Deep Bay","Pak Nai Stream","DB3","2024-10-04","1","<0.1","<50","0.025","<0.05","<1","2","3","<1","<50","<0.1","2","<10","0.4","<1","60","<1","<0.01","98","8.4","4500","0.11","<0.2","<0.01","110","<1","30","<1","<2","<1","0.42","0.003","<0.5","0.058","7.1","<0.2","0","21","<1","<0.02","3","<1","<0.05","<1","0.06","68","3","4.6","<2","22.8","<10","1900"
"Deep Bay","Pak Nai Stream","DB3","2024-11-07","1","<0.1","<50","0.048","<0.05","<1","1","3","<1","<50","<0.1","3","27","1","<1","66","<1","<0.01","97","8.4","4500","0.051","0.2","<0.01","<50","<1","20","<1","<2","<1","1.2","0.034","<0.5","0.47","7.1","0.9","0","20","<1","<0.02","8","<1","<0.05","1","0.58","110","32","5.1","<2","22.4","<10","900"
"Deep Bay","Pak Nai Stream","DB3","2024-12-05","1","0.2","<50","0.046","<0.05","<1","1","4","<1","<50","<0.1","3","<10","1.4","<1","68","<1","<0.01","96","8.8","1700","0.026","0.2","<0.01","70","<1","30","<1","<2","<1","0.42","0.007","<0.5","0.1","7","1.8","0","20","<1","<0.02","11","<1","0.08","1","0.14","77","22","6.1","<2","19.7","10","600"
"Deep Bay","Sheung Pak Nai Stream","DB5","2024-01-24","1","<0.1","<50","0.013","<0.05","<1","<1","5","<1","<50","<0.1","10","<10","0.5","<1","67","2","<0.01","96","10.5","18000","0.113","0.2","<0.01","140","<1","60","<1","<2","<1","0.37","0.003","<0.5","0.013","6.8","<0.2","0","23","<1","<0.02","<0.5","<1","0.11","1","0.03","90","66","2.3","<2","11.7","<10","510"
"Deep Bay","Sheung Pak Nai Stream","DB5","2024-02-26","1","0.7","<50","0.009","<0.05","<1","<1","6","<1","<50","<0.1","2","<10","0.2","<1","76","<1","<0.01","95","9.1","12000","0.102","0.2","<0.01","180","<1","40","<1","<2","5","0.15","<0.002","<0.5","0.021","7.2","<0.2","0","18","<1","<0.02","1.2","<1","0.09","1","0.03","93","38","2.2","<2","17.3","<10","210"
"Deep Bay","Sheung Pak Nai Stream","DB5","2024-03-22","1","0.3","<50","0.016","<0.05","<1","<1","4","<1","<50","<0.1","3","<10","0.8","<1","92","<1","<0.01","101","8.7","3400","0.056","0.2","<0.01","130","<1","20","<1","<2","1","0.12","0.011","<0.5","0.009","7.5","0.5","0","20","<1","<0.02","<0.5","<1","0.15","2","0.03","95","78","1.9","<2","22.5","<10","180"
"Deep Bay","Sheung Pak Nai Stream","DB5","2024-04-05","1","0.5","<50","0.015","<0.05","<1","<1","5","<1","<50","<0.1","5","<10","1.6","<1","98","<1","<0.01","93","7.6","5100","0.01","0.3","<0.01","130","<1","20","<1","<2","<1","0.068","0.004","<0.5","0.016","7.4","0.7","0","20","<1","<0.02","1.6","<1","0.09","3","<0.02","100","27","1.7","<2","25.5","<10","380"
