"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-𝘢 (mg/m³)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (mg/m³)","Salinity (psu)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)","𝐸. 𝑐𝑜𝑙𝑖  (counts/100mL)"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2012-11-09","1","3.9","110","0.12","1.1","<1","<1","17","<1","<50","<0.1","10","18","3.6","<1","269","7","<0.01","101","8.1","35000","null","0.7","<0.01","70","1","<10","<1","4","2","1.2","0.057","<0.5","0.089","8.9","3.4","0.1","17","<1","<0.02","1.8","<1","0.64","3","0.1","190","41","2.1","<2","26.3","30","7500"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2012-12-08","1","1","270","0.025","0.46","<1","<1","15","<1","<50","<0.1","4","15","1.4","1","205","2","<0.01","100","9.3","450","null","0.7","<0.01","140","2","30","<1","5","<1","1.9","0.025","<0.5","0.16","8.6","0.5","0.1","18","<1","<0.02","12","<1","0.23","2","0.34","150","40","9","<2","18.8","20","350"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2012-01-14","1","2.9","140","0.73","0.13","<1","<1","17","<1","<50","<0.1","8","16","","<1","381","2","<0.01","103","9.8","3500","0.005","0.7","<0.01","60","<1","10","<1","2","<1","2.3","0.41","0.9","0.31","8.8","","0.2","19","<1","<0.02","2.5","<1","1.5","3","0.33","150","30","2.9","<2","17.8","20","3400"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2012-02-08","1","3.5","80","3.9","0.06","<1","<1","19","<1","<50","<0.1","9","16","13","<1","431","2","<0.01","105","10.8","42000","0.005","0.8","<0.01","<50","<1","<10","<1","3","<1","2.3","0.5","<0.5","0.48","8.4","2.6","0.3","20","<1","<0.02","3.3","<1","4.3","3","0.5","150","35","2.3","<2","14.2","10","11000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2012-03-01","1","3.1","80","0.46","0.08","<1","<1","19","<1","<50","<0.1","5","16","","<1","315","<1","<0.01","104","9.8","17000","0.004","0.7","<0.01","<50","<1","30","<1","4","<1","2.9","0.24","<0.5","0.19","8.3","","0.2","19","<1","<0.02","0.9","<1","0.75","2","0.19","200","50","1.6","<2","17.8","10","4200"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2012-04-10","1","1","140","0.41","<0.05","<1","<1","18","<1","<50","<0.1","7","18","0.7","<1","357","2","<0.01","108","9.2","8900","0.01","0.7","<0.01","<50","<1","<10","<1","4","<1","2.7","0.21","<0.5","0.15","8.3","<0.2","0.2","17","<1","<0.02","0.8","<1","0.79","3","0.17","190","44","1.2","<2","23.4","20","2700"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2012-05-11","1","0.7","110","0.039","<0.05","<1","<1","12","<1","<50","<0.1","4","11","","<1","244","3","<0.01","100","8.2","32000","0.015","0.5","<0.01","60","<1","10","<1","2","<1","1.5","0.047","<0.5","0.073","8.1","","0.1","18","<1","<0.02","1.8","<1","0.33","2","0.09","140","38","2.3","<2","25.3","20","14000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2012-06-14","1","0.5","420","0.074","0.1","<1","<1","14","<1","<50","<0.1","6","<10","<0.2","<1","220","2","<0.01","101","8.1","120000","0.005","0.7","<0.01","420","7","180","<1","5","<1","1.1","0.032","<0.5","0.074","8.2","1.1","0.1","17","<1","<0.02","41","<1","0.51","2","0.1","180","33","57.7","<2","26.4","30","25000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2012-07-25","1","0.4","530","0.022","<0.05","<1","<1","8","<1","<50","<0.1","20","<10","","<1","137","2","<0.01","99","8","12000","0.028","0.4","<0.01","230","6","20","<1","3","<1","0.96","0.009","<0.5","0.028","8","","0.1","11","<1","<0.02","90","<1","0.32","10","0.08","200","50","71.1","<2","25.8","30","9500"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2012-08-08","1","0.3","150","0.037","<0.05","<1","<1","12","<1","<50","<0.1","5","<10","1","<1","208","<1","<0.01","100","7.9","43000","0.011","0.4","<0.01","370","1","10","<1","4","<1","0.41","0.01","<0.5","0.036","8.2","<0.2","0.1","17","<1","<0.02","4.4","<1","0.11","2","0.05","93","26","6.2","<2","27.9","10","26000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2012-09-21","1","0.8","230","0.039","0.09","<1","<1","15","<1","<50","<0.1","3","<10","","<1","493","2","<0.01","106","8.5","130000","0.004","0.6","<0.01","170","2","10","<1","4","<1","0.74","0.015","<0.5","0.06","8.7","","0.2","17","<1","<0.02","6.7","<1","0.26","1","0.07","120","38","9.3","<2","26.5","20","110000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2012-10-11","1","0.8","110","0.025","0.08","<1","<1","15","<1","<50","<0.1","3","<10","0.5","<1","307","2","<0.01","105","8.9","64000","0.004","0.6","<0.01","50","<1","<10","<1","4","<1","1.1","0.037","<0.5","0.086","8.8","0.7","0.2","17","<1","<0.02","<0.5","<1","0.22","1","0.1","120","42","3.6","<2","23.8","10","62000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2012-11-09","1","1.5","80","0.013","<0.05","<1","<1","11","<1","<50","<0.1","5","<10","","<1","452","1","<0.01","115","9.5","8300","0.005","0.8","<0.01","50","<1","<10","<1","4","<1","1.1","0.046","0.8","0.088","9","","0.2","18","<1","<0.02","0.9","<1","0.25","2","0.09","130","33","0.5","<2","24.9","20","4200"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2012-12-08","1","23","300","0.027","<0.05","<1","<1","15","<1","<50","<0.1","3","13","0.3","<1","259","1","<0.01","102","9.4","2400","0.002","0.7","<0.01","240","4","60","<1","4","<1","1.6","0.025","<0.5","0.06","8.5","<0.2","0.1","18","<1","<0.02","23","<1","0.13","<1","0.07","150","31","38.9","<2","19.1","20","1300"
"Deep Bay","Ha Pak Nai Stream","DB1","2012-01-27","1","<0.1","290","0.008","<0.05","<1","<1","6","<1","<50","<0.1","<2","<10","4.4","<1","36","<1","<0.01","100","10.6","270","0.011","0.2","<0.01","140","3","10","<1","<2","<1","0.35","0.003","<0.5","0.008","8","3.4","0","23","<1","<0.02","11","<1","<0.05","<1","<0.02","70","31","4.6","<2","12.4","10","140"
"Deep Bay","Ha Pak Nai Stream","DB1","2012-02-16","1","0.2","380","0.047","<0.05","<1","<1","6","<1","<50","<0.1","4","<10","4","<1","42","<1","<0.01","100","9.3","1600","0.014","0.2","<0.01","70","1","<10","<1","<2","<1","0.41","0.002","<0.5","0.005","7.4","1.9","0","22","<1","<0.02","2.3","<1","0.08","<1","<0.02","82","30","4.3","<2","18.6","<10","820"
"Deep Bay","Ha Pak Nai Stream","DB1","2012-03-22","1","0.3","240","0.017","<0.05","<1","<1","5","<1","<50","<0.1","3","<10","<0.2","<1","50","<1","<0.01","103","8.8","430","0.006","0.3","<0.01","<50","1","<10","<1","<2","<1","0.21","0.003","<0.5","0.007","7.4","0.9","0","22","<1","<0.02","6.4","<1","0.05","<1","<0.02","64","14","5.7","<2","23.2","<10","20"
"Deep Bay","Ha Pak Nai Stream","DB1","2012-04-23","1","0.4","330","0.02","<0.05","<1","<1","8","<1","<50","<0.1","<2","<10","0.7","<1","54","<1","<0.01","99","8.2","560","0.012","<0.2","<0.01","290","5","50","<1","<2","<1","0.38","<0.002","<0.5","0.006","7.8","<0.2","0","18","<1","<0.02","43","<1","0.11","<1","<0.02","110","32","8.3","<2","24.9","<10","130"
"Deep Bay","Ha Pak Nai Stream","DB1","2012-05-24","1","<0.1","100","0.022","<0.05","<1","<1","4","<1","<50","<0.1","2","<10","0.3","<1","60","<1","<0.01","101","8","890","0.018","0.2","<0.01","<50","2","<10","<1","<2","<1","0.33","<0.002","<0.5","0.006","7.6","<0.2","0","20","<1","<0.02","3.5","<1","<0.05","<1","<0.02","74","29","10.1","<2","27.3","20","46"
"Deep Bay","Ha Pak Nai Stream","DB1","2012-06-25","1","<0.1","<50","0.01","<0.05","<1","<1","4","<1","<50","<0.1","2","<10","0.5","<1","41","<1","<0.01","100","7.8","1900","0.029","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.33","<0.002","<0.5","0.005","7.4","<0.2","0","20","<1","<0.02","7.9","<1","<0.05","<1","<0.02","62","24","10.9","<2","28.1","20","410"
"Deep Bay","Ha Pak Nai Stream","DB1","2012-07-13","1","0.2","280","0.006","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","<0.2","<1","27","<1","<0.01","103","7.9","980","0.009","0.2","<0.01","60","<1","<10","<1","<2","<1","0.26","0.002","<0.5","0.004","8","0.3","0","21","<1","<0.02","3.9","<1","0.07","<1","<0.02","66","17","9.3","<2","29.2","10","52"
"Deep Bay","Ha Pak Nai Stream","DB1","2012-08-03","1","<0.1","60","0.028","<0.05","<1","<1","3","<1","<50","<0.1","<2","<10","<0.2","<1","74","<1","<0.01","100","7.9","2200","0.05","<0.2","<0.01","<50","<1","10","<1","<2","<1","0.33","0.003","<0.5","0.005","7.7","0.4","0","19","<1","<0.02","1.3","<1","0.07","<1","<0.02","56","21","5.5","<2","27.3","<10","360"
"Deep Bay","Ha Pak Nai Stream","DB1","2012-09-17","1","0.1","140","0.009","<0.05","<1","<1","8","<1","<50","0.2","<2","<10","0.2","<1","40","<1","<0.01","103","8.4","490","0.026","0.2","<0.01","80","<1","<10","<1","<2","<1","0.23","0.005","<0.5","0.005","7.4","1.3","0","22","<1","<0.02","3.4","<1","0.16","<1","<0.02","62","24","7.3","<2","25.7","10","34"
"Deep Bay","Ha Pak Nai Stream","DB1","2012-10-08","1","<0.1","550","0.007","<0.05","<1","<1","5","<1","<50","0.1","<2","<10","2.7","<1","42","<1","<0.01","103","8.3","1100","0.05","0.2","<0.01","120","<1","<10","<1","<2","<1","0.21","0.003","<0.5","0.005","7.3","<0.2","0","23","<1","<0.02","3.7","<1","0.09","<1","<0.02","50","20","5.6","<2","26.2","<10","90"
"Deep Bay","Ha Pak Nai Stream","DB1","2012-11-07","1","<0.1","300","0.007","<0.5","<1","<1","4","<1","<50","<0.1","<2","<10","0.5","<1","42","<1","<0.01","102","8.9","1600","0.011","0.2","<0.01","110","<1","<10","<1","<2","<1","0.24","0.003","0.6","0.004","7.6","<0.2","0","23","<1","<0.02","1.8","<1","0.05","<1","<0.02","71","14","3.9","<2","22.4","20","220"
"Deep Bay","Ha Pak Nai Stream","DB1","2012-12-06","1","<0.1","80","5","0.21","<1","<1","4","<1","<50","<0.1","2","14","<0.2","<1","37","<1","<0.01","100","9.8","680","0.016","0.3","<0.01","<50","<1","<10","<1","<2","<1","0.41","0.11","<0.5","0.63","7.8","0.9","0","13","<1","<0.02","3.4","<1","5","<1","0.66","65","5","5.5","<2","16.7","10","270"
"Deep Bay","Tai Shui Hang Stream","DB2","2012-01-27","1","0.3","120","0.04","<0.05","<1","<1","6","<1","<50","<0.1","3","55","0.6","<1","182","<1","<0.01","96","10.3","130","0.13","0.3","<0.01","310","1","100","<1","<2","<1","0.46","0.003","<0.5","0.005","7.6","<0.2","0.1","23","<1","<0.02","1.3","<1","0.09","<1","<0.02","170","63","3","<2","12.2","10","43"
"Deep Bay","Tai Shui Hang Stream","DB2","2012-02-16","1","0.7","160","0.069","<0.05","<1","<1","8","<1","<50","<0.1","5","22","1.5","<1","60","<1","<0.01","85","7.8","970","0.16","0.3","<0.01","510","<1","100","<1","<2","<1","0.26","0.005","<0.5","0.006","7.1","0.8","0","23","<1","<0.02","3","<1","0.12","<1","<0.02","140","61","5.3","<2","19.6","<10","190"
"Deep Bay","Tai Shui Hang Stream","DB2","2012-03-22","1","0.4","80","0.036","<0.05","<1","<1","8","<1","<50","<0.1","4","180","0.7","<1","643","<1","<0.01","88","7.6","3200","0.02","0.3","<0.01","1100","1","240","<1","<2","<1","0.13","0.004","<0.5","0.007","7","0.3","0.3","22","<1","<0.02","3.5","<1","0.16","<1","<0.02","410","73","4.9","<2","22.3","10","87"
"Deep Bay","Tai Shui Hang Stream","DB2","2012-04-23","1","0.3","170","0.021","<0.05","<1","<1","7","<1","<50","<0.1","3","78","0.3","<1","289","<1","<0.01","98","8.1","1100","0.19","<0.2","<0.01","160","1","50","<1","<2","<1","0.55","<0.002","<0.5","0.005","7.5","<0.2","0.1","18","<1","<0.02","3.2","<1","0.07","1","<0.02","220","52","4.6","<2","24.9","<10","80"
"Deep Bay","Tai Shui Hang Stream","DB2","2012-05-24","1","0.2","<50","0.027","<0.05","<1","<1","9","<1","100","<0.1","3","190","<0.2","<1","1723","<1","<0.01","100","7.9","900","0.06","0.2","<0.01","80","1","30","<1","<2","<1","0.43","0.008","0.9","0.007","7.2","0.3","0.8","20","<1","<0.02","2.6","<1","0.05","<1","<0.02","490","140","6.1","<2","26.7","10","100"
"Deep Bay","Tai Shui Hang Stream","DB2","2012-06-25","1","0.2","<50","0.022","<0.05","<1","<1","7","<1","<50","<0.1","<2","<10","<0.2","<1","52","<1","<0.01","99","7.7","1800","0.2","0.2","<0.01","80","1","40","<1","<2","<1","0.45","<0.002","<0.5","0.006","7.4","0.3","0","21","<1","<0.02","5","<1","0.07","<1","<0.02","68","24","6.9","<2","28.2","<10","80"
"Deep Bay","Tai Shui Hang Stream","DB2","2012-07-13","1","<0.1","90","0.009","<0.05","<1","<1","4","<1","<50","<0.1","3","<10","0.5","<1","53","<1","<0.01","101","7.7","1400","0.06","0.2","<0.01","190","1","60","<1","<2","<1","0.26","0.003","<0.5","0.005","8.2","<0.2","0","23","<1","<0.02","4.4","<1","<0.05","<1","<0.02","68","14","7.4","<2","29.7","20","120"
"Deep Bay","Tai Shui Hang Stream","DB2","2012-08-03","1","<0.1","50","0.042","<0.05","<1","<1","9","<1","90","<0.1","<2","450","0.5","<1","1363","<1","<0.01","97","7.6","1100","0.12","0.2","<0.01","80","2","40","<1","<2","<1","0.35","0.007","<0.5","0.005","7.3","<0.2","0.6","20","<1","<0.02","3.2","<1","0.19","<1","<0.02","1000","230","5","<2","27.9","20","330"
"Deep Bay","Tai Shui Hang Stream","DB2","2012-09-17","1","0.2","70","0.15","<0.05","<1","<1","10","<1","<50","<0.1","3","36","0.2","<1","167","<1","<0.01","101","8.4","120","0.18","0.2","<0.01","150","<1","50","<1","<2","<1","0.2","<0.002","<0.5","0.005","7.7","1.4","0.1","23","<1","<0.02","2.4","<1","0.32","<1","<0.02","130","44","3.9","<2","25","20","18"
"Deep Bay","Tai Shui Hang Stream","DB2","2012-10-08","1","<0.1","170","0.024","<0.05","<1","<1","5","<1","<50","<0.1","<2","22","0.6","<1","118","<1","<0.01","98","8","1100","0.4","0.2","<0.01","150","<1","40","<1","<2","<1","0.15","<0.002","<0.5","0.006","7.5","0.2","0.1","24","<1","<0.02","2.6","<1","0.09","<1","<0.02","79","29","3.1","<2","25.9","10","90"
"Deep Bay","Tai Shui Hang Stream","DB2","2012-11-07","1","<0.1","150","0.011","<0.5","<1","<1","6","<1","<50","<0.1","2","18","0.4","<1","97","<1","<0.01","99","8.6","510","0.4","0.3","<0.01","130","1","30","<1","<2","<1","0.19","<0.002","0.8","0.004","7.9","<0.2","0.1","23","<1","<0.02","2.9","<1","0.05","<1","<0.02","110","23","4.4","<2","22","10","100"
"Deep Bay","Tai Shui Hang Stream","DB2","2012-12-06","1","0.3","200","0.022","<0.05","<1","<1","10","<1","<50","<0.1","3","<10","0.6","<1","43","<1","<0.01","99","9.9","460","0.26","0.2","<0.01","90","1","30","<1","<2","<1","0.6","0.003","<0.5","0.005","7.6","<0.2","0","18","<1","<0.02","3.6","<1","0.06","<1","<0.02","66","10","5.7","<2","15.6","20","130"
"Deep Bay","Pak Nai Stream","DB3","2012-01-27","1","0.1","170","0.019","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","0.2","<1","44","<1","<0.01","98","10.3","210","0.009","0.2","<0.01","110","<1","30","<1","<2","<1","0.33","0.003","<0.5","0.005","7.7","<0.2","0","23","<1","<0.02","1.3","<1","<0.05","<1","<0.02","64","24","3","<2","13","20","110"
"Deep Bay","Pak Nai Stream","DB3","2012-02-16","1","0.4","190","0.03","<0.05","<1","<1","8","<1","<50","<0.1","3","<10","0.8","<1","60","<1","<0.01","91","8.6","1100","0.01","0.2","<0.01","190","<1","40","<1","<2","<1","0.37","0.005","<0.5","0.006","7","0.7","0","22","<1","<0.02","2.7","<1","0.08","<1","<0.02","86","40","4.3","<2","18.4","<10","290"
"Deep Bay","Pak Nai Stream","DB3","2012-03-22","1","0.5","140","0.027","<0.05","<1","<1","9","<1","<50","<0.1","<2","12","0.2","<1","84","<1","<0.01","96","8.2","1300","0.004","0.3","<0.01","400","1","60","<1","<2","<1","0.21","0.002","<0.5","0.007","6.9","<0.2","0","22","<1","<0.02","4.4","<1","0.07","<1","<0.02","98","27","6.1","<2","23","20","880"
"Deep Bay","Pak Nai Stream","DB3","2012-04-23","1","0.5","120","0.032","<0.05","<1","<1","12","<1","<50","<0.1","5","<10","0.2","<1","74","<1","<0.01","90","7.3","2400","0.008","<0.2","<0.01","320","1","120","<1","<2","<1","0.29","<0.002","<0.5","0.007","7.3","<0.2","0","19","<1","<0.02","8.8","<1","0.07","1","<0.02","81","20","12.7","<2","25.9","<10","390"
"Deep Bay","Pak Nai Stream","DB3","2012-05-24","1","<0.1","70","0.032","<0.05","<1","<1","11","<1","<50","<0.1","<2","<10","<0.2","<1","64","<1","<0.01","95","7.5","3800","0.012","<0.2","<0.01","310","1","80","<1","<2","<1","0.27","0.002","<0.5","0.006","6.8","0.4","0","20","<1","<0.02","11","<1","<0.05","<1","<0.02","92","49","14.1","<2","27.6","10","480"
"Deep Bay","Pak Nai Stream","DB3","2012-06-25","1","<0.1","<50","0.044","<0.05","<1","<1","10","<1","<50","<0.1","<2","<10","0.3","<1","76","<1","<0.01","94","7.3","5500","0.007","<0.2","<0.01","230","<1","90","<1","<2","<1","0.26","<0.002","<0.5","0.005","6.9","<0.2","0","20","<1","<0.02","11","<1","0.11","<1","<0.02","78","31","14.2","<2","28.9","<10","1000"
"Deep Bay","Pak Nai Stream","DB3","2012-07-13","1","0.2","60","0.016","<0.05","<1","<1","4","<1","<50","<0.1","2","<10","0.2","<1","55","<1","<0.01","97","7.4","4800","0.051","<0.2","<0.01","260","<1","70","<1","<2","<1","0.22","<0.002","0.6","0.005","7.6","<0.2","0","21","<1","<0.02","10","<1","0.09","<1","<0.02","80","23","12.5","<2","29.6","10","290"
"Deep Bay","Pak Nai Stream","DB3","2012-08-03","1","<0.1","50","0.038","<0.05","<1","<1","6","<1","<50","<0.1","<2","<10","0.6","<1","55","<1","<0.01","96","7.6","2400","0.024","<0.2","<0.01","190","1","60","<1","<2","<1","0.27","<0.002","<0.5","0.005","7","<0.2","0","19","<1","<0.02","5.6","<1","0.09","<1","<0.02","72","26","7","<2","27.1","30","560"
"Deep Bay","Pak Nai Stream","DB3","2012-09-17","1","0.1","150","0.023","<0.05","<1","<1","7","<1","<50","<0.1","<2","<10","1.3","<1","51","<1","<0.01","104","8.4","990","0.036","0.2","<0.01","140","1","40","<1","<2","<1","0.2","<0.002","<0.5","0.005","7.2","1.3","0","22","<1","<0.02","18","<1","0.16","<1","<0.02","84","30","28.4","<2","26.4","10","290"
"Deep Bay","Pak Nai Stream","DB3","2012-10-08","1","0.4","130","0.027","<0.05","<1","<1","9","<1","<50","<0.1","<2","<10","1.4","<1","39","<1","<0.01","100","7.9","4100","0.039","0.2","<0.01","170","<1","50","<1","<2","<1","0.17","0.002","<0.5","0.006","6.9","0.8","0","23","<1","<0.02","4.4","<1","0.06","<1","<0.02","60","34","5.9","<2","27","10","280"
"Deep Bay","Pak Nai Stream","DB3","2012-11-07","1","<0.1","170","0.018","<0.5","<1","<1","8","<1","<50","<0.1","3","<10","1.3","<1","56","<1","<0.01","100","8.6","5300","0.048","0.2","<0.01","190","1","40","<1","<2","<1","0.21","0.003","<0.5","0.004","7.3","<0.2","0","22","<1","<0.02","8.5","<1","0.09","<1","<0.02","86","27","16.1","<2","23","20","310"
"Deep Bay","Pak Nai Stream","DB3","2012-12-06","1","0.1","70","0.022","<0.05","<1","<1","7","<1","<50","<0.1","4","<10","0.2","<1","45","<1","<0.01","96","9.3","990","0.03","<0.2","<0.01","190","<1","60","<1","<2","<1","0.29","<0.002","<0.5","0.006","7.1","<0.2","0","20","<1","<0.02","3.1","<1","<0.05","<1","<0.02","64","8.5","6.6","<2","16.9","10","680"
"Deep Bay","Sheung Pak Nai Stream","DB5","2012-01-27","1","<0.1","140","0.04","<0.05","<1","<1","5","<1","<50","<0.1","<2","<10","1","<1","35","2","<0.01","100","10.6","1000","0.021","0.2","<0.01","190","3","40","<1","<2","<1","0.25","<0.002","<0.5","0.01","7.7","0.6","0","23","<1","<0.02","2.2","<1","0.1","<1","<0.02","57","20","7.2","<2","12.8","30","830"
