807212.567363	2483546.061123	807034.060637	2483565.572694
810233.387322	2488067.979878	810064.938625	2488089.764174
810005.959706	2488902.966010	809860.232451	2488921.466311
809129.844547	2488046.355107	808956.611354	2488062.970833
811225.421584	2488662.528077	811090.255358	2488683.832784
811915.926377	2484016.545599	811759.295211	2484036.365800
812818.714304	2487845.951717	812646.395884	2487863.400210
810287.048796	2487545.291418	810140.158557	2487563.221020
812990.386488	2485173.520710	812849.710362	2485183.461017
805021.451521	2485335.521676	804878.832757	2485345.397193
814103.629823	2486639.632693	813928.834417	2486663.468740
814191.845841	2488685.135729	814020.900502	2488708.962731
808844.219390	2489895.151205	808691.640443	2489900.289187
807217.172030	2480719.716105	807054.051792	2480740.411589
810011.571281	2489732.967723	809855.155874	2489750.824835
815596.107837	2482680.456644	815448.093102	2482703.120914
816219.648456	2484985.479240	816052.900145	2485018.241125
805660.950191	2480607.148932	805486.041024	2480621.465959
804021.889885	2480580.856528	803862.440662	2480587.541702
805720.810620	2479654.991139	805555.995415	2479680.112840
808563.057504	2476845.903172	808416.277354	2476864.911227
818137.949551	2484023.843592	817964.633383	2484052.944488
812615.854193	2477000.871412	812466.409726	2477018.257461
815939.547448	2491432.506551	815777.296240	2491448.319984
810226.944617	2493920.418501	810067.065664	2493914.173917
817121.771568	2491702.140061	816980.789452	2491722.441235
815540.349354	2493153.530859	815381.822461	2493162.840866
820104.088550	2488034.595275	819927.942950	2488060.213032
799550.594776	2487785.400112	799389.353833	2487788.682046
802833.552642	2476509.086281	802671.878411	2476528.439259
799609.883724	2481384.015339	799448.438581	2481393.976294
799817.854184	2480346.905594	799650.077209	2480361.751041
816903.698023	2494168.454263	816734.061687	2494186.700231
807364.525353	2473529.900852	807211.296502	2473549.910125
800378.162777	2476975.625566	800227.592673	2476990.705594
797296.083664	2485100.505378	797142.504152	2485102.288054
819824.524375	2477291.201982	819668.017228	2477321.360182
822403.043663	2491308.964457	822219.845966	2491336.044123
821134.058994	2492726.736793	820962.487936	2492755.393819
812800.135892	2472099.234870	812658.304283	2472119.817047
820467.509875	2494798.142098	820289.891836	2494820.950663
823470.645852	2487167.855282	823303.863113	2487198.813143
821808.915041	2493291.582017	821622.094100	2493322.283739
823337.267100	2492730.333579	823177.064708	2492757.545973
813942.901419	2470886.978340	813784.449029	2470916.671812
821825.117816	2495933.453051	821668.734775	2495964.910815
824763.890386	2488809.524517	824571.501443	2488834.310993
822900.441020	2476604.984229	822727.491702	2476639.573448
810515.191263	2469086.348809	810368.491125	2469112.217147
819924.736719	2472426.280236	819754.121873	2472460.328889
805864.198590	2468985.131839	805712.322187	2469005.426322
824604.450672	2476405.644404	824425.626066	2476444.829798
827122.212031	2485411.207073	826952.008095	2485432.723037
802367.107304	2469704.451673	802199.266858	2469725.542452
812900.658493	2467945.624270	812761.834423	2467978.404231
824273.088282	2496380.891926	824110.760598	2496410.913893
828320.633554	2487449.280070	828145.250693	2487480.943872
823093.709560	2472711.839656	822904.261012	2472748.066460
824765.289374	2497396.967459	824621.619007	2497424.736558
796603.828155	2471155.541540	796456.076904	2471167.711914
811511.582972	2465971.929446	811359.041450	2466005.655400
827366.428339	2493998.026362	827188.654476	2494026.573223
828339.177415	2477983.968562	828183.113663	2478021.094396
798770.784116	2468392.865275	798616.626056	2468406.246247
826610.494609	2497062.996267	826432.551783	2497087.534789
809601.924282	2464963.866771	809437.321026	2464995.565181
828875.217242	2478214.281070	828702.252140	2478249.915161
830291.110383	2482652.782486	830121.008160	2482684.517440
830163.059329	2478742.817084	829988.385566	2478771.752465
813628.321538	2464257.840381	813464.293922	2464284.794903
826956.521835	2472396.305259	826795.961284	2472427.904438
830988.731772	2480977.627643	830819.025954	2481008.368478
822885.088390	2468150.588090	822713.940841	2468189.248976
802935.990461	2464471.882900	802785.636559	2464490.148893
830533.431037	2477533.025105	830362.321852	2477550.993615
822480.253095	2465970.688549	822301.978914	2466011.857760
804979.879053	2462334.278337	804842.162125	2462355.393225
833510.584905	2489442.310218	833360.282493	2489466.524945
831628.126398	2475326.897641	831453.211317	2475361.836257
833456.740393	2491759.163410	833285.671321	2491789.508689
834405.892883	2483848.672897	834231.869416	2483875.189775
834507.480849	2486787.405430	834331.566588	2486824.799709
829089.734099	2470202.325009	828925.153667	2470235.282359
831998.789268	2496531.537614	831830.060853	2496566.436858
793303.291021	2466927.483478	793153.816635	2466936.511172
810691.289898	2460706.830678	810542.874972	2460733.436428
827263.887291	2467799.360934	827109.631193	2467831.185040
798225.565791	2462750.449556	798063.719496	2462762.285778
795085.804039	2463652.004877	794938.137181	2463662.554589
824286.382058	2463114.248193	824105.305701	2463162.188992
832121.413527	2470247.830161	831966.644084	2470279.428374
798907.087562	2460682.166657	798748.883635	2460695.896281
825886.683365	2463458.372249	825721.921468	2463498.258937
819950.004909	2459978.057631	819765.712849	2460011.784398
808399.127485	2458023.282920	808248.545076	2458052.309083
828819.841806	2465522.856059	828657.696138	2465559.395922
836428.942806	2478140.229906	836252.271168	2478181.622386
837898.388451	2483003.639504	837720.796254	2483028.183403
834807.246102	2499122.459100	834649.597194	2499147.008817
837418.886329	2478266.293334	837234.158253	2478303.970915
832488.908768	2467808.918800	832332.237997	2467842.573797
838874.206600	2487773.890984	838713.040962	2487816.369444
793842.599591	2461232.933152	793693.441992	2461237.567354
836040.225072	2471400.527018	835886.181214	2471433.716987
795767.339260	2458551.318897	795611.085890	2458570.169249
823924.916622	2457855.677887	823763.935497	2457888.146230
830483.625121	2461197.010145	830308.103041	2461237.601090
839967.325612	2497017.346145	839813.836156	2497044.165020
841139.528681	2477246.506353	840965.986015	2477277.864694
841011.726616	2495426.500280	840844.858250	2495456.400120
800111.718788	2454261.029566	799953.045509	2454284.255134
842825.564188	2484536.734388	842629.223064	2484567.921947
805756.499749	2452957.983886	805599.062926	2452989.646277
834809.656062	2463070.457175	834645.911846	2463110.134662
831968.470370	2458749.691176	831813.124043	2458778.602178
839336.434580	2467218.026119	839157.600420	2467255.564804
845268.812031	2489887.746783	845093.989282	2489917.980800
834701.096205	2459591.158838	834525.786973	2459626.720207
839595.032600	2465098.687911	839431.452655	2465137.447239
791769.449798	2451880.412421	791630.343657	2451894.435836
848060.172208	2479256.740160	847878.216182	2479282.300420
846726.648233	2473301.159153	846558.836526	2473331.923918
849619.302475	2486489.830696	849435.712693	2486517.299395
835808.168478	2454478.806775	835635.633551	2454520.886647
845676.789345	2465335.953169	845504.033334	2465367.584709
849572.454710	2504401.630950	849409.653655	2504426.527898
853367.896129	2497205.629824	853193.441284	2497224.249235
853415.407801	2501143.566758	853238.866136	2501160.739313
