 #The Line and  Sample are according to LEVEL1 and LEVEL2 image 

 L1Line L1Sample  L2Line   L2Sample  Lon       Lat      Zenith    Azimuth
      1       1  -80.20    1189.74  113.4148  23.0147   5.5758     102.2195
      1     123  -62.60    1313.22  113.4389  23.0112   5.3711     102.3499
      1     245  -45.04    1436.46  113.4628  23.0076   5.1667     102.4898
      1     367  -27.50    1559.47  113.4868  23.0041   4.9626     102.6402
      1     489  -10.00    1682.25  113.5106  23.0006   4.7588     102.8024
      1     611   7.47    1804.83  113.5345  22.9970   4.5553     102.9780
      1     733  24.91    1927.20  113.5583  22.9935   4.3520     103.1689
      1     855  42.33    2049.38  113.5820  22.9900   4.1491     103.3773
      1     977  59.72    2171.38  113.6058  22.9864   3.9464     103.6060
      1    1099  77.08    2293.21  113.6295  22.9829   3.7440     103.8581
      1    1221  94.43    2414.88  113.6531  22.9794   3.5418     104.1376
      1    1343  111.75    2536.40  113.6767  22.9758   3.3400     104.4495
      1    1465  129.05    2657.77  113.7003  22.9723   3.1383     104.7999
      1    1587  146.33    2779.02  113.7239  22.9688   2.9370     105.1969
      1    1709  163.59    2900.14  113.7474  22.9653   2.7360     105.6505
      1    1831  180.84    3021.15  113.7710  22.9618   2.5353     106.1742
      1    1953  198.08    3142.06  113.7945  22.9582   2.3349     106.7858
      1    2075  215.30    3262.88  113.8179  22.9547   2.1350     107.5099
      1    2197  232.51    3383.62  113.8414  22.9512   1.9356     108.3811
      1    2319  249.71    3504.29  113.8648  22.9477   1.7367     109.4495
      1    2441  266.90    3624.89  113.8883  22.9441   1.5387     110.7906
      1    2563  284.09    3745.44  113.9117  22.9406   1.3419     112.5232
      1    2685  301.26    3865.96  113.9351  22.9371   1.1467     114.8447
      1    2807  318.44    3986.44  113.9585  22.9335   0.9541     118.1061
      1    2929  335.61    4106.89  113.9819  22.9300   0.7662     122.9850
      1    3051  352.78    4227.34  114.0053  22.9265   0.5874     130.9194
      1    3173  369.95    4347.79  114.0287  22.9229   0.4291     145.1831
      1    3295  387.12    4468.24  114.0521  22.9194   0.3230     171.7934
      1    3417  404.29    4588.71  114.0755  22.9158   0.3252     -151.9804
