 #The Line and  Sample are according to LEVEL1 and LEVEL2 image 

 L1Line L1Sample  L2Line   L2Sample  Lon       Lat      Zenith    Azimuth
      1       1  -80.24    1199.90  113.4472  23.0156   5.5755     102.3015
      1     123  -62.40    1323.42  113.4713  23.0120   5.3707     102.4305
      1     245  -44.60    1446.70  113.4953  23.0085   5.1663     102.5689
      1     367  -26.82    1569.75  113.5192  23.0049   4.9622     102.7176
      1     489  -9.08    1692.58  113.5431  23.0013   4.7584     102.8780
      1     611   8.63    1815.20  113.5669  22.9977   4.5548     103.0517
      1     733  26.31    1937.61  113.5907  22.9941   4.3516     103.2405
      1     855  43.96    2059.83  113.6145  22.9905   4.1486     103.4466
      1     977  61.59    2181.88  113.6382  22.9870   3.9459     103.6727
      1    1099  79.19    2303.75  113.6619  22.9834   3.7434     103.9220
      1    1221  96.77    2425.46  113.6856  22.9798   3.5413     104.1984
      1    1343  114.33    2547.01  113.7092  22.9762   3.3393     104.5068
      1    1465  131.87    2668.43  113.7328  22.9727   3.1377     104.8533
      1    1587  149.39    2789.72  113.7564  22.9691   2.9363     105.2459
      1    1709  166.89    2910.88  113.7799  22.9655   2.7353     105.6944
      1    1831  184.38    3031.94  113.8035  22.9620   2.5345     106.2123
      1    1953  201.85    3152.89  113.8270  22.9584   2.3341     106.8171
      1    2075  219.30    3273.75  113.8504  22.9548   2.1341     107.5333
      1    2197  236.75    3394.53  113.8739  22.9512   1.9346     108.3951
      1    2319  254.18    3515.23  113.8974  22.9477   1.7357     109.4520
      1    2441  271.61    3635.88  113.9208  22.9441   1.5376     110.7790
      1    2563  289.03    3756.47  113.9442  22.9405   1.3406     112.4940
      1    2685  306.44    3877.03  113.9676  22.9369   1.1453     114.7929
      1    2807  323.85    3997.55  113.9910  22.9334   0.9526     118.0249
      1    2929  341.26    4118.05  114.0144  22.9298   0.7644     122.8657
      1    3051  358.66    4238.54  114.0378  22.9262   0.5851     130.7560
      1    3173  376.07    4359.02  114.0612  22.9226   0.4261     145.0039
      1    3295  393.47    4479.52  114.0846  22.9190   0.3194     171.7967
      1    3417  410.88    4600.03  114.1080  22.9154   0.3219     -151.5681
      1    3539  428.29    4720.57  114.1314  22.9118   0.4318     -125.3709
      1    3661  445.71    4841.15  114.1549  22.9082   0.5921     -111.4766
      1    3783  463.14    4961.78  114.1783  22.9046   0.7721     -103.7517
      1    3905  480.57    5082.46  114.2017  22.9010   0.9608     -98.9944
      1    4027  498.01    5203.21  114.2251  22.8973   1.1541     -95.8090
      1    4149  515.47    5324.04  114.2486  22.8937   1.3499     -93.5384
      1    4271  532.93    5444.96  114.2720  22.8901   1.5474     -91.8418
      1    4393  550.42    5565.97  114.2955  22.8864   1.7461     -90.5274
      1    4515  567.91    5687.10  114.3190  22.8828   1.9456     -89.4794
      1    4637  585.43    5808.33  114.3426  22.8791   2.1459     -88.6242
      1    4759  602.96    5929.70  114.3661  22.8755   2.3466     -87.9130
      1    4881  620.51    6051.21  114.3897  22.8718   2.5479     -87.3120
      1    5003  638.09    6172.86  114.4133  22.8681   2.7495     -86.7972
      1    5125  655.68    6294.67  114.4369  22.8644   2.9516     -86.3511
      1    5247  673.30    6416.64  114.4605  22.8608   3.1540     -85.9606
      1    5369  690.95    6538.79  114.4842  22.8571   3.3567     -85.6157
      1    5491  708.62    6661.13  114.5080  22.8533   3.5598     -85.3087
      1    5613  726.33    6783.67  114.5317  22.8496   3.7632     -85.0335
      1    5735  744.06    6906.42  114.5555  22.8459   3.9669     -84.7852
      1    5857  761.82    7029.38  114.5794  22.8422   4.1710     -84.5600
      1    6000  782.69    7173.79  114.6074  22.8378   4.4107     -84.3211
    119       1  35.52    1176.08  113.4422  22.9948   5.5754     102.2993
    119     123  53.36    1299.60  113.4663  22.9912   5.3707     102.4283
    119     245  71.17    1422.88  113.4902  22.9876   5.1663     102.5666
    119     367  88.95    1545.93  113.5142  22.9840   4.9622     102.7153
    119     489  106.69    1668.76  113.5380  22.9805   4.7583     102.8756
    119     611  124.41    1791.37  113.5619  22.9769   4.5548     103.0493
    119     733  142.09    1913.79  113.5857  22.9733   4.3515     103.2380
    119     855  159.75    2036.01  113.6094  22.9697   4.1486     103.4441
    119     977  177.38    2158.05  113.6332  22.9661   3.9458     103.6701
    119    1099  194.99    2279.92  113.6569  22.9626   3.7434     103.9192
    119    1221  212.57    2401.63  113.6805  22.9590   3.5412     104.1955
    119    1343  230.13    2523.18  113.7041  22.9554   3.3393     104.5039
    119    1465  247.67    2644.60  113.7277  22.9519   3.1377     104.8503
    119    1587  265.19    2765.88  113.7513  22.9483   2.9363     105.2427
    119    1709  282.70    2887.05  113.7749  22.9447   2.7352     105.6911
    119    1831  300.19    3008.10  113.7984  22.9411   2.5345     106.2088
    119    1953  317.66    3129.05  113.8219  22.9376   2.3341     106.8135
    119    2075  335.12    3249.91  113.8454  22.9340   2.1341     107.5295
    119    2197  352.57    3370.69  113.8688  22.9304   1.9346     108.3910
    119    2319  370.01    3491.39  113.8923  22.9269   1.7357     109.4476
    119    2441  387.44    3612.04  113.9157  22.9233   1.5376     110.7743
    119    2563  404.86    3732.63  113.9391  22.9197   1.3406     112.4887
    119    2685  422.28    3853.18  113.9625  22.9161   1.1452     114.7870
    119    2807  439.69    3973.70  113.9859  22.9125   0.9525     118.0183
    119    2929  457.10    4094.20  114.0093  22.9090   0.7643     122.8581
    119    3051  474.51    4214.69  114.0327  22.9054   0.5850     130.7474
    119    3173  491.91    4335.17  114.0561  22.9018   0.4260     144.9951
    119    3295  509.32    4455.67  114.0795  22.8982   0.3193     171.7933
    119    3417  526.73    4576.18  114.1029  22.8946   0.3218     -151.5606
    119    3539  544.15    4696.72  114.1263  22.8910   0.4318     -125.3613
    119    3661  561.57    4817.29  114.1497  22.8874   0.5921     -111.4690
    119    3783  579.00    4937.92  114.1731  22.8838   0.7721     -103.7459
    119    3905  596.44    5058.60  114.1966  22.8802   0.9608     -98.9900
    119    4027  613.88    5179.35  114.2200  22.8765   1.1540     -95.8055
    119    4149  631.34    5300.18  114.2434  22.8729   1.3499     -93.5356
    119    4271  648.81    5421.10  114.2669  22.8693   1.5474     -91.8396
    119    4393  666.30    5542.11  114.2904  22.8656   1.7461     -90.5256
    119    4515  683.80    5663.23  114.3139  22.8620   1.9456     -89.4779
    119    4637  701.31    5784.47  114.3374  22.8583   2.1459     -88.6230
    119    4759  718.85    5905.84  114.3609  22.8547   2.3466     -87.9121
    119    4881  736.40    6027.34  114.3845  22.8510   2.5479     -87.3113
    119    5003  753.98    6148.99  114.4081  22.8473   2.7495     -86.7967
    119    5125  771.58    6270.80  114.4317  22.8436   2.9516     -86.3507
    119    5247  789.21    6392.77  114.4554  22.8400   3.1540     -85.9603
    119    5369  806.86    6514.92  114.4791  22.8363   3.3567     -85.6156
    119    5491  824.53    6637.26  114.5028  22.8325   3.5598     -85.3086
    119    5613  842.24    6759.80  114.5265  22.8288   3.7632     -85.0335
    119    5735  859.98    6882.54  114.5503  22.8251   3.9670     -84.7854
    119    5857  877.74    7005.50  114.5742  22.8214   4.1710     -84.5602
    119    6000  898.61    7149.91  114.6022  22.8170   4.4107     -84.3214
    237       1  151.28    1152.26  113.4372  22.9740   5.5754     102.2972
    237     123  169.13    1275.78  113.4612  22.9704   5.3707     102.4261
    237     245  186.94    1399.06  113.4852  22.9668   5.1663     102.5644
    237     367  204.72    1522.10  113.5091  22.9632   4.9621     102.7130
    237     489  222.47    1644.93  113.5330  22.9596   4.7583     102.8733
    237     611  240.19    1767.54  113.5568  22.9561   4.5548     103.0468
    237     733  257.87    1889.96  113.5806  22.9525   4.3515     103.2355
    237     855  275.53    2012.18  113.6044  22.9489   4.1485     103.4415
    237     977  293.17    2134.22  113.6281  22.9453   3.9458     103.6674
    237    1099  310.78    2256.08  113.6518  22.9418   3.7434     103.9165
    237    1221  328.37    2377.79  113.6755  22.9382   3.5412     104.1927
