 #The Line and  Sample are according to LEVEL1 and LEVEL2 image 

 L1Line L1Sample  L2Line   L2Sample  Lon       Lat      Zenith    Azimuth
      1       1  -80.31    1187.78  113.3894  23.0142   5.5748     102.0570
      1     123  -62.72    1311.38  113.4135  23.0106   5.3700     102.1821
      1     245  -45.17    1434.73  113.4375  23.0071   5.1656     102.3163
      1     367  -27.64    1557.86  113.4614  23.0036   4.9614     102.4605
      1     489  -10.15    1680.76  113.4853  23.0000   4.7575     102.6160
      1     611   7.31    1803.45  113.5092  22.9965   4.5540     102.7844
      1     733  24.74    1925.94  113.5330  22.9930   4.3507     102.9673
      1     855  42.14    2048.24  113.5568  22.9894   4.1476     103.1671
      1     977  59.52    2170.36  113.5805  22.9859   3.9449     103.3862
      1    1099  76.88    2292.30  113.6042  22.9824   3.7424     103.6277
      1    1221  94.21    2414.09  113.6279  22.9789   3.5402     103.8955
      1    1343  111.52    2535.72  113.6516  22.9754   3.3382     104.1943
      1    1465  128.81    2657.21  113.6752  22.9718   3.1365     104.5300
      1    1587  146.08    2778.57  113.6988  22.9683   2.9351     104.9103
      1    1709  163.33    2899.81  113.7223  22.9648   2.7339     105.3449
      1    1831  180.57    3020.94  113.7459  22.9613   2.5331     105.8465
      1    1953  197.79    3141.96  113.7694  22.9578   2.3326     106.4326
      1    2075  215.00    3262.90  113.7929  22.9542   2.1324     107.1266
      1    2197  232.20    3383.75  113.8164  22.9507   1.9328     107.9618
      1    2319  249.39    3504.53  113.8399  22.9472   1.7337     108.9866
      1    2441  266.57    3625.25  113.8633  22.9437   1.5354     110.2738
      1    2563  283.74    3745.92  113.8868  22.9402   1.3381     111.9383
      1    2685  300.91    3866.55  113.9102  22.9366   1.1424     114.1720
      1    2807  318.07    3987.14  113.9336  22.9331   0.9491     117.3177
      1    2929  335.23    4107.72  113.9570  22.9296   0.7601     122.0431
      1    3051  352.39    4228.28  113.9805  22.9260   0.5796     129.7886
      1    3173  369.55    4348.84  114.0039  22.9225   0.4188     143.9405
      1    3295  386.71    4469.40  114.0273  22.9190   0.3098     171.1603
      1    3417  403.87    4589.99  114.0507  22.9154   0.3126     -151.0481
      1    3539  421.04    4710.60  114.0741  22.9119   0.4251     -124.5206
      1    3661  438.21    4831.26  114.0976  22.9083   0.5874     -110.7627
      1    3783  455.39    4951.96  114.1210  22.9047   0.7686     -103.1972
      1    3905  472.57    5072.71  114.1444  22.9012   0.9581     -98.5618
      1    4027  489.77    5193.54  114.1679  22.8976   1.1519     -95.4661
      1    4149  506.98    5314.44  114.1914  22.8940   1.3481     -93.2626
      1    4271  524.20    5435.43  114.2148  22.8905   1.5459     -91.6176
      1    4393  541.43    5556.52  114.2383  22.8869   1.7448     -90.3438
      1    4515  558.68    5677.71  114.2619  22.8833   1.9446     -89.3285
      1    4637  575.95    5799.03  114.2854  22.8797   2.1449     -88.5003
      1    4759  593.23    5920.47  114.3090  22.8761   2.3458     -87.8115
      1    4881  610.53    6042.05  114.3326  22.8724   2.5472     -87.2296
      1    5003  627.86    6163.77  114.3562  22.8688   2.7489     -86.7311
      1    5125  645.21    6285.65  114.3798  22.8652   2.9510     -86.2992
      1    5247  662.58    6407.70  114.4035  22.8616   3.1535     -85.9211
      1    5369  679.98    6529.93  114.4272  22.8579   3.3563     -85.5871
      1    5491  697.40    6652.34  114.4509  22.8542   3.5594     -85.2898
      1    5613  714.85    6774.95  114.4747  22.8506   3.7629     -85.0232
      1    5735  732.33    6897.77  114.4985  22.8469   3.9667     -84.7828
      1    5857  749.85    7020.81  114.5224  22.8432   4.1708     -84.5646
      1    6000  770.41    7165.31  114.5504  22.8389   4.4105     -84.3332
    119       1  35.45    1164.20  113.3845  22.9933   5.5748     102.0552
    119     123  53.04    1287.80  113.4085  22.9898   5.3700     102.1803
    119     245  70.60    1411.16  113.4325  22.9863   5.1655     102.3144
    119     367  88.13    1534.28  113.4564  22.9827   4.9614     102.4586
    119     489  105.62    1657.18  113.4803  22.9792   4.7575     102.6141
    119     611  123.08    1779.87  113.5042  22.9757   4.5539     102.7824
    119     733  140.52    1902.36  113.5280  22.9721   4.3506     102.9653
    119     855  157.93    2024.66  113.5518  22.9686   4.1476     103.1650
    119     977  175.31    2146.77  113.5755  22.9651   3.9449     103.3841
    119    1099  192.66    2268.72  113.5992  22.9616   3.7424     103.6255
    119    1221  210.00    2390.50  113.6229  22.9581   3.5401     103.8933
    119    1343  227.31    2512.13  113.6466  22.9545   3.3382     104.1920
