 #The Line and  Sample are according to LEVEL1 and LEVEL2 image 

 L1Line L1Sample  L2Line   L2Sample  Lon       Lat      Zenith    Azimuth
      1       1  -80.26    1197.48  113.4620  23.0153   5.5756     102.2960
      1     123  -62.47    1321.03  113.4860  23.0117   5.3709     102.4256
      1     245  -44.72    1444.33  113.5100  23.0082   5.1664     102.5645
      1     367  -26.99    1567.41  113.5340  23.0046   4.9623     102.7139
      1     489  -9.30    1690.26  113.5579  23.0010   4.7585     102.8749
      1     611   8.36    1812.91  113.5817  22.9974   4.5549     103.0494
      1     733  25.99    1935.35  113.6055  22.9938   4.3517     103.2390
      1     855  43.59    2057.60  113.6293  22.9903   4.1487     103.4460
      1     977  61.17    2179.66  113.6530  22.9867   3.9460     103.6730
      1    1099  78.72    2301.56  113.6767  22.9831   3.7436     103.9233
      1    1221  96.25    2423.30  113.7004  22.9796   3.5414     104.2009
      1    1343  113.76    2544.88  113.7240  22.9760   3.3395     104.5106
      1    1465  131.24    2666.32  113.7476  22.9724   3.1378     104.8587
      1    1587  148.71    2787.64  113.7712  22.9689   2.9365     105.2529
      1    1709  166.16    2908.83  113.7948  22.9653   2.7354     105.7033
      1    1831  183.60    3029.91  113.8183  22.9617   2.5347     106.2234
      1    1953  201.02    3150.88  113.8418  22.9582   2.3343     106.8308
      1    2075  218.43    3271.77  113.8653  22.9546   2.1343     107.5501
      1    2197  235.82    3392.58  113.8887  22.9511   1.9348     108.4155
      1    2319  253.21    3513.31  113.9122  22.9475   1.7360     109.4769
      1    2441  270.58    3633.98  113.9356  22.9439   1.5379     110.8094
      1    2563  287.95    3754.60  113.9591  22.9403   1.3409     112.5313
      1    2685  305.32    3875.18  113.9825  22.9368   1.1456     114.8393
      1    2807  322.68    3995.73  114.0059  22.9332   0.9530     118.0834
      1    2929  340.03    4116.26  114.0293  22.9296   0.7649     122.9404
      1    3051  357.39    4236.77  114.0527  22.9260   0.5858     130.8516
      1    3173  374.74    4357.28  114.0761  22.9225   0.4271     145.1153
      1    3295  392.10    4477.80  114.0995  22.9189   0.3207     171.8575
      1    3417  409.45    4598.34  114.1229  22.9153   0.3232     -151.6584
      1    3539  426.82    4718.91  114.1463  22.9117   0.4328     -125.5131
      1    3661  444.18    4839.51  114.1697  22.9081   0.5929     -111.6057
      1    3783  461.56    4960.17  114.1932  22.9045   0.7727     -103.8617
